Sample	Genome	Mean	Trimmed Mean	Covered Fraction	Relative Abundance (%)	Read Count	ANIr	Length
ERR9765747_clean_R1.fastq.gz	SGB_001	6.071589	5.9788566	0.99560535	2.3827043	106638	0.9957677	2614762
ERR9765747_clean_R1.fastq.gz	SGB_016	15.551559	15.294503	0.9994863	6.1029773	287678	0.9967765	2770249
ERR9765747_clean_R1.fastq.gz	SGB_015	2.1667373	2.0850494	0.8613604	0.85030365	15698	0.9970212	1122363
ERR9765747_clean_R1.fastq.gz	SGB_022	7.6097913	7.5232387	0.99883074	2.9863486	237515	0.9955316	4629413
ERR9765747_clean_R1.fastq.gz	SGB_013	2.6129072	2.535317	0.90280247	1.0253962	23189	0.9956418	1366218
ERR9765747_clean_R1.fastq.gz	SGB_006	4.1246934	4.0206614	0.9554007	1.6186742	140975	0.9919044	5210977
ERR9765747_clean_R1.fastq.gz	SGB_020	3.6175764	3.543734	0.9608256	1.4196637	48426	0.9945378	2000542
ERR9765747_clean_R1.fastq.gz	SGB_011	8.216097	8.056138	0.9978818	3.2242842	106328	0.99694425	1937978
ERR9765747_clean_R1.fastq.gz	SGB_024	25.302246	25.182531	0.9998573	9.929487	300433	0.99650186	1772843
ERR9765747_clean_R1.fastq.gz	SGB_009	1.8822744	1.7865229	0.82225055	0.7386704	13321	0.99595416	1083632
ERR9765747_clean_R1.fastq.gz	SGB_007	4.2269235	4.131548	0.9765672	1.6587929	182810	0.99660766	6481038
ERR9765747_clean_R1.fastq.gz	SGB_018	3.3131807	3.1710558	0.91972375	1.3002081	9088	0.99723756	418156
ERR9765747_clean_R1.fastq.gz	SGB_008	2.268664	2.194336	0.87451386	0.8903032	13854	0.99703383	946551
ERR9765747_clean_R1.fastq.gz	SGB_017	8.892775	8.778024	0.99879265	3.4898365	127864	0.9968689	2151032
ERR9765747_clean_R1.fastq.gz	SGB_003	4.1982365	4.101827	0.9776654	1.6475351	57138	0.9963799	2039351
ERR9765747_clean_R1.fastq.gz	SGB_004	4.7193584	4.6429925	0.9880782	1.8520417	60276	0.99615043	1906417
ERR9765747_clean_R1.fastq.gz	SGB_014	7.029056	6.955855	0.9980472	2.7584476	90400	0.9970118	1920309
ERR9765747_clean_R1.fastq.gz	SGB_023	20.389263	19.807493	0.99967676	8.001461	231555	0.99648124	1698339
ERR9765747_clean_R1.fastq.gz	SGB_021	3.6022651	3.5149643	0.96114904	1.413655	165519	0.9961344	6915991
ERR9765747_clean_R1.fastq.gz	SGB_019	7.1344647	7.059206	0.99833935	2.7998137	82937	0.9970326	1736697
ERR9765747_clean_R1.fastq.gz	SGB_010	18.919388	18.85001	0.99970657	7.42463	218381	0.99717635	1727858
ERR9765747_clean_R1.fastq.gz	SGB_005	4.9447703	4.8465424	0.9891623	1.9405011	87960	0.99602324	2653984
ERR9765747_clean_R1.fastq.gz	SGB_002	7.733503	7.5583234	0.9978565	3.0348976	136885	0.996429	2643322
