Genome	AnalysisSet	Species	Phylum	ModuleID	DRAMModuleName	METABOLICModuleName	DRAMCoverage	DRAMPresentAt075	METABOLICPresentAt075	Agreement	ComparisonBoundary
SGB_019	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_020	Primary real MAG	Halobacterium salinarum	Halobacteriota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_021	Primary real MAG	Rhodopirellula baltica	Planctomycetota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.5	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_022	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.25	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_023	Primary real MAG	Thermotoga petrophila	Thermotogota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.75	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_024	Primary real MAG	Thermotoga neapolitana	Thermotogota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.75	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_001	Primary real MAG	Desulfobulbus oralis	Desulfobacterota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.875	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_002	Primary real MAG	Nitrosomonas europaea	Pseudomonadota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.875	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_003	Primary real MAG	Porphyromonas gingivalis	Bacteroidota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.375	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_004	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.875	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_005	Primary real MAG	Chlorobium limicola	Bacteroidota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.875	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_006	Primary real MAG	Shewanella baltica	Pseudomonadota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.875	true	false	false	same KOfam snapshot; tool-specific module-step definitions
SGB_007	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.75	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_008	Primary real MAG	Ignicoccus islandicus	Thermoproteota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.625	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_009	Primary real MAG	Ignicoccus hospitalis	Thermoproteota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.625	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_010	Primary real MAG	Methanocaldococcus jannaschii	AGJL01	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.375	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_011	Primary real MAG	Methanocatella oralis	Methanobacteriota	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Citrate cycle (TCA cycle, Krebs cycle)	0.375	false	false	true	same KOfam snapshot; tool-specific module-step definitions
