Profile	RequestedByMETABOLICv4	PresentInKOfam2026_06_01	CompatibilityAction
K01616.hmm	true	true	included
K10952.hmm	true	true	included
K20077.hmm	true	true	included
K19801.hmm	true	true	included
K15864.hmm	true	true	included
K01954.hmm	true	true	included
K00166.hmm	true	true	included
K03196.hmm	true	true	included
K18374.hmm	true	true	included
K18103.hmm	true	true	included
K15893.hmm	true	true	included
K11755.hmm	true	true	included
K13316.hmm	true	true	included
K11027.hmm	true	true	included
K02128.hmm	true	true	included
K23977.hmm	true	true	included
K18021.hmm	true	true	included
K22093.hmm	true	true	included
K03877.hmm	true	true	included
K03968.hmm	true	true	included
K00548.hmm	true	true	included
K00463.hmm	true	true	included
K14534.hmm	true	true	included
K03956.hmm	true	true	included
K01441.hmm	true	true	included
K21258.hmm	true	true	included
K13523.hmm	true	true	included
K10920.hmm	true	true	included
K01772.hmm	true	true	included
K16792.hmm	true	true	included
K18068.hmm	true	true	included
K17650.hmm	true	true	included
K19650.hmm	true	true	included
K22391.hmm	true	true	included
K05712.hmm	true	true	included
K22395.hmm	true	true	included
K18354.hmm	true	true	included
K02143.hmm	true	true	included
K13609.hmm	true	true	included
K12659.hmm	true	true	included
K03227.hmm	true	true	included
K19188.hmm	true	true	included
K03896.hmm	true	true	included
K10622.hmm	true	true	included
K18298.hmm	true	true	included
K02547.hmm	true	true	included
K22089.hmm	true	true	included
K18057.hmm	true	true	included
K00012.hmm	true	true	included
K22588.hmm	true	true	included
K05284.hmm	true	true	included
K18293.hmm	true	true	included
K22227.hmm	true	true	included
K00249.hmm	true	true	included
K07419.hmm	true	true	included
K04561.hmm	true	true	included
K10964.hmm	true	true	included
K17648.hmm	true	true	included
K09458.hmm	true	true	included
K15777.hmm	true	true	included
K02446.hmm	true	true	included
K18693.hmm	true	true	included
K21539.hmm	true	true	included
K14469.hmm	true	true	included
K15019.hmm	true	true	included
K02119.hmm	true	true	included
K02125.hmm	true	true	included
K25075.hmm	true	true	included
K11004.hmm	true	true	included
K25124.hmm	true	true	included
K02578.hmm	true	true	included
K00103.hmm	true	true	included
K18129.hmm	true	true	included
K00551.hmm	true	true	included
K16160.hmm	true	true	included
K21178.hmm	true	true	included
K01808.hmm	true	true	included
K15227.hmm	true	true	included
K00648.hmm	true	true	included
K18317.hmm	true	true	included
K04128.hmm	true	true	included
K19560.hmm	true	true	included
K24258.hmm	true	true	included
K21191.hmm	true	true	included
K01637.hmm	true	true	included
K11261.hmm	true	true	included
K00288.hmm	true	true	included
K01964.hmm	true	true	included
K00290.hmm	true	true	included
K16838.hmm	true	true	included
K21693.hmm	true	true	included
K00600.hmm	true	true	included
K07547.hmm	true	true	included
K14272.hmm	true	true	included
K19106.hmm	true	true	included
K13543.hmm	true	true	included
K15989.hmm	true	true	included
K00872.hmm	true	true	included
K15397.hmm	true	true	included
K00641.hmm	true	true	included
K21345.hmm	true	true	included
K14666.hmm	true	true	included
K00505.hmm	true	true	included
K01649.hmm	true	true	included
K14729.hmm	true	true	included
K02591.hmm	true	true	included
K24565.hmm	true	true	included
K18316.hmm	true	true	included
K10619.hmm	true	true	included
K03963.hmm	true	true	included
K16363.hmm	true	true	included
K19280.hmm	true	true	included
K19857.hmm	true	true	included
K14675.hmm	true	true	included
K09653.hmm	true	true	included
K06210.hmm	true	true	included
K18899.hmm	true	true	included
K01807.hmm	true	true	included
K00919.hmm	true	true	included
