Pathway	PathwayID	PathwayName	CommunityRPK	StrataRPKSum	RPKDifference	StrataToCommunityRatio	CommunityCPM	StrataCPMSum	CommunityRelativeAbundance	Coverage	Strata	DominantStratum	DominantFractionOfStrata
PWY-5101: L-isoleucine biosynthesis II	PWY-5101	L-isoleucine biosynthesis II	25.6937235897	0.0	25.6937235897	0.0	249.982	0.0	0.000249982	0.0996994133	0		0.0
PWY-3001: superpathway of L-isoleucine biosynthesis I	PWY-3001	superpathway of L-isoleucine biosynthesis I	25.5355592836	0.0	25.5355592836	0.0	248.443	0.0	0.000248443	0.0433526924	0		0.0
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	25.5315886682	0.0	25.5315886682	0.0	248.404	0.0	0.000248404	0.1687798057	0		0.0
PWY-5100: pyruvate fermentation to acetate and lactate II	PWY-5100	pyruvate fermentation to acetate and lactate II	25.452220899	18.2091186177	7.2431022813000006	0.7154235651952645	247.632	177.1618	0.000247632	0.349221043	2	g__Thermotoga.s__Thermotoga_neapolitana	0.7739030055305323
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	25.2515190495	17.1348577909	8.1166612586	0.6785674064720983	245.68	166.7101	0.00024568	0.2162883837	2	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	0.520853019383666
PENTOSE-P-PWY: pentose phosphate pathway	PENTOSE-P-PWY	pentose phosphate pathway	25.2319884348	0.0	25.2319884348	0.0	245.49	0.0	0.00024549	0.0417235958	0		0.0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	25.2260667086	0.0	25.2260667086	0.0	245.432	0.0	0.000245432	0.2483539966	0		0.0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	24.3818114528	12.702142382	11.679669070800001	0.5209679521388182	237.218	123.583	0.000237218	0.29905912	1	g__Caldicellulosiruptor.s__Caldicellulosiruptor_saccharolyticus	1.0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	24.0616259047	0.0	24.0616259047	0.0	234.103	0.0	0.000234103	0.0824969042	0		0.0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	23.9886572982	6.6556550134	17.3330022848	0.27745008529091	233.393	64.7548	0.000233393	0.0856088219	1	g__Caldicellulosiruptor.s__Caldicellulosiruptor_saccharolyticus	1.0
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	PWY66-429	fatty acid biosynthesis initiation (mitochondria)	23.7752072407	6.6197645950999995	17.155442645599997	0.27843141504852337	231.316	64.40559999999999	0.000231316	0.4345138008	2	g__Thermotoga.s__Thermotoga_neapolitana	0.6569227180705068
PWY-6317: D-galactose degradation I (Leloir pathway)	PWY-6317	D-galactose degradation I (Leloir pathway)	23.7305720529	0.0	23.7305720529	0.0	230.882	0.0	0.000230882	0.309363834	0		0.0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	23.6999109813	0.0	23.6999109813	0.0	230.583	0.0	0.000230583	0.1343240302	0		0.0
PWY-6527: stachyose degradation	PWY-6527	stachyose degradation	23.669111947	0.0	23.669111947	0.0	230.284	0.0	0.000230284	0.3266305357	0		0.0
PWY-6165: chorismate biosynthesis II (archaea)	PWY-6165	chorismate biosynthesis II (archaea)	23.1663890673	0.0	23.1663890673	0.0	225.393	0.0	0.000225393	0.0441832451	0		0.0
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	23.0338816113	0.0	23.0338816113	0.0	224.103	0.0	0.000224103	0.0736647779	0		0.0
METH-ACETATE-PWY: methanogenesis from acetate	METH-ACETATE-PWY	methanogenesis from acetate	22.9164204846	0.0	22.9164204846	0.0	222.961	0.0	0.000222961	0.317562151	0		0.0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	22.771096365	0.0	22.771096365	0.0	221.547	0.0	0.000221547	0.0841769617	0		0.0
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	22.7401087581	0.0	22.7401087581	0.0	221.245	0.0	0.000221245	0.0271257037	0		0.0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	22.4976074464	5.9923131581	16.5052942883	0.2663533521231775	218.886	58.301	0.000218886	0.0699161284	1	g__Caldicellulosiruptor.s__Caldicellulosiruptor_saccharolyticus	1.0
PWY-5097: L-lysine biosynthesis VI	PWY-5097	L-lysine biosynthesis VI	22.2018648418	0.0	22.2018648418	0.0	216.009	0.0	0.000216009	0.0547993013	0		0.0
PWY-6151: S-adenosyl-L-methionine salvage I	PWY-6151	S-adenosyl-L-methionine salvage I	22.0206978569	5.9839521881	16.036745668800002	0.27174216852646105	214.246	58.2196	0.000214246	0.3662419357	2	g__Thermotoga.s__Thermotoga_petrophila	0.5577038493617439
PWY-5973: cis-vaccenate biosynthesis	PWY-5973	cis-vaccenate biosynthesis	21.9407921371	0.0	21.9407921371	0.0	213.468	0.0	0.000213468	0.3006678267	0		0.0
PWY-6897: thiamine diphosphate salvage II	PWY-6897	thiamine diphosphate salvage II	21.8408234964	0.0	21.8408234964	0.0	212.496	0.0	0.000212496	0.1497220995	0		0.0
PWY-6936: seleno-amino acid biosynthesis (plants)	PWY-6936	seleno-amino acid biosynthesis (plants)	21.784366386	9.666382423	12.117983962999999	0.4437302536929522	211.947	94.0471	0.000211947	0.3394164607	2	g__Thermotoga.s__Thermotoga_neapolitana	0.5992306978893877
