SampleID	1 peptide · 1% FDR	1 peptide · 5% FDR	2 peptides · 1% FDR	2 peptides · 5% FDR
CSM5MCZ3	664.0	899	259	309
HSM67VF3	1441.0	1760	536	589
CSM5MCXB	948.0	1294	323	373
CSM7KOK3	2766.0	3169	1164	1270
MSMA26EL	916.0	1213	271	299
CSM7KOU9	3312.0	3763	1306	1468
CSM7KOPS	1176.0	1503	400	494
CSM7KOPC	2091.0	2556	758	890
CSM7KOP8	2048.0	2425	765	878
CSM79HO9	1527.0	1870	597	686
PSM7J1CU	251.0	448	81	89
CSM7KOQX	1434.0	1821	464	578
PSM7J1CK	712.0	986	242	300
CSM7KOKH	727.0	1022	189	271
MSM6J2O1	1648.0	1981	683	750
MSM6J2NW	487.0	708	157	202
CSM67UBB	984.0	1278	426	471
MSMA26C8	1080.0	1382	401	464
CSM67U9X	800.0	1073	301	345
CSM79HJ6	683.0	990	213	276
HSM7CYWW	1104.0	1403	351	419
HSM7CZ1Z	1682.0	2031	697	771
ESM5MEB1	1406.0	1720	523	579
HSMA33LH	706.0	1072	197	278
ESM5MEAD	940.0	1165	445	477
MSMAPC6M	2318.0	2752	850	965
ESM5MEBL	828.0	1106	283	348
ESM5MEAG	1341.0	1618	624	672
MSM79H5W	1644.0	2014	554	640
MSM6J2PO	2601.0	3074	980	1119
MSM6J2QP	1121.0	1496	379	464
MSM6J2PW	2552.0	2988	992	1118
MSM79HC4	974.0	1344	276	380
MSM79H5S	1328.0	1691	454	571
CSM7KOMT	873.0	1242	214	295
HSM7J4R2	1040.0	1432	285	389
HSMA33JJ	1553.0	2011	437	571
CSM67UB1	1405.0	1802	453	557
MSM79HDE	9.0	34	4	4
CSM67U9V	1842.0	2319	582	718
MSM6J2K6	2072.0	2550	632	770
CSM79HIT	1882.0	2239	659	758
MSM9VZEW	748.0	1045	201	232
HSM6XRRJ	1036.0	1385	372	450
CSM7KOTK	2376.0	2836	947	1061
CSM5FZ48	974.0	1364	239	333
HSM67VI3	2272.0	2766	795	912
HSM67VI5	987.0	1400	250	376
HSM67VES	758.0	1087	190	259
CSM5MCVH	149.0	281	30	47
HSM67VDX	2055.0	2458	724	876
CSM67UAA	971.0	1236	388	451
HSM7CYZJ	2080.0	2498	725	830
ESM5MEC5	1640.0	1949	676	763
PSM7J16W	2679.0	3115	991	1092
HSM5MD8B	755.0	1060	221	272
HSM7CYZ7	506.0	704	146	169
CSM79HM1	1425.0	1818	523	600
HSMA33MQ	858.0	1227	194	261
HSM7J4N4	1724.0	2067	524	598
HSM7J4NA	1619.0	1979	506	579
HSMA33J7	1246.0	1616	441	500
HSM7J4HC	2184.0	2610	737	859
HSM7J4KC	673.0	887	233	262
HSM7J4I3	620.0	879	153	201
ESM5MEDD	2528.0	2914	1040	1144
ESM5MEDN	1859.0	2204	748	839
CSM79HQH	1559.0	1872	656	717
CSM7KOQ3	400.0	613	112	133
MSM9VZOU	521.0	739	131	154
HSM7CYXG	1064.0	1419	364	446
HSM7J4OE	2866.0	3314	1057	1197
PSM6XBUO	1032.0	1337	373	431
PSM6XBUI	482.0	699	152	190
PSM6XBTV	1953.0	2347	719	836
MSM9VZPV	1118.0	1506	269	346
MSM9VZMM	2921.0	3358	1275	1406
MSM9VZMU	1170.0	1413	395	448
PSM7J141	489.0	700	191	216
MSM9VZL9	1434.0	1765	536	602
MSM5LLIK	1470.0	1856	533	644
MSM9VZHD	1980.0	2376	691	784
MSM79H6B	2226.0	2599	912	1002
HSM6XRSN	1915.0	2249	804	868
HSM7J4ME	1656.0	1996	646	702
HSM5MD4Q	871.0	1180	284	368
HSM5MD4O	958.0	1243	350	394
CSMA9J65	752.0	941	325	352
MSM79H4T	278.0	469	60	79
MSM5LLHM	2386.0	2817	943	1041
MSM6J2N6	614.0	881	165	195
MSM5LLIC	1613.0	1987	554	644
HSM7CYXQ	1667.0	2071	588	714
CSM7KOOV	612.0	848	182	238
MSM79H4X	925.0	1219	292	327
MSM6J2J5	2032.0	2404	745	851
PSM6XBT9	887.0	1237	199	278
PSM6XBT3	1462.0	1798	556	634
MSM79HAH	2621.0	3006	1052	1176
PSM7J1AS	790.0	1093	211	276
MSM6J2O3	1502.0	1913	515	627
MSM9VZFV	563.0	791	193	233
HSM7J4O3	888.0	1250	252	321
HSM6XRVK	42.0	83	7	11
HSM6XRVC	696.0	1009	162	226
HSM6XRVO	771.0	1051	274	320
HSM7CZ1A	526.0	783	118	161
CSM5MCYU	832.0	1171	192	238
HSM6XRVU	2176.0	2543	904	1015
CSM67U9P	1045.0	1391	346	386
HSM67VDR	1274.0	1592	452	497
HSMA33NW	2378.0	2756	923	1035
PSMA264Q	660.0	903	211	249
CSM9X1YF	1719.0	2108	614	685
HSMA33IA	2513.0	2896	1023	1137
MSMA26CX	2655.0	3054	1099	1196
HSM5MD43	819.0	1088	280	345
HSM5MD3Y	229.0	418	78	89
HSM5MD87	466.0	669	175	203
CSM5FZ44	946.0	1201	373	426
CSM5MCVN	1032.0	1282	453	490
PSM7J1B9	2002.0	2342	818	907
MSMAPC6G	1211.0	1673	311	427
MSM9VZEK	1771.0	2151	582	688
MSM5LLGH	507.0	699	185	236
MSM79HDQ	357.0	553	66	99
MSM5FZA2	375.0	586	110	125
MSM5FZ9X	509.0	729	173	190
MSM79HBX	589.0	843	133	185
CSM7KONS	1430.0	1775	473	545
ESM718UH	2615.0	3036	1132	1248
CSM7KORU	841.0	1092	311	347
PSM7J14X	2833.0	3256	1158	1276
CSM79HQR	474.0	693	169	193
ESM718TM	943.0	1275	240	309
ESM5MEB9	251.0	448	45	65
PSM7J16F	855.0	1226	200	280
ESM718V8	572.0	811	196	232
PSM7J17X	1368.0	1715	446	495
PSM6XBW3	835.0	1093	275	316
PSM7J1A4	148.0	294	19	31
ESM5MEET	391.0	602	101	131
ESM5MEBP	319.0	519	113	125
PSMA267P	52.0	106	6	10
PSMB4MBK	1074.0	1437	359	423
CSM79HMX	2543.0	2987	931	1051
MSM79H8D	537.0	811	137	184
PSM7J143	870.0	1090	358	393
MSM79H8L	794.0	966	268	301
