Feature	EC	Description	LayerPair	Subjects	SpearmanRho	PValue	QValue	BH05
2.7.7.24: Glucose-1-phosphate thymidylyltransferase	2.7.7.24	Glucose-1-phosphate thymidylyltransferase	DNA–Protein	76	0.08926062253676738	0.44320523799846734	0.5751120240213922	False
2.7.7.27: Glucose-1-phosphate adenylyltransferase	2.7.7.27	Glucose-1-phosphate adenylyltransferase	DNA–Protein	76	0.41801218884446556	0.00017173682700328746	0.0007207465771574138	True
2.7.7.4: Sulfate adenylyltransferase	2.7.7.4	Sulfate adenylyltransferase	DNA–Protein	76	0.03622081848475931	0.7560785250865556	0.8366703454323876	False
2.7.7.6: DNA-directed RNA polymerase	2.7.7.6	DNA-directed RNA polymerase	DNA–Protein	76	0.4035816814764183	0.00030024497226507246	0.0011844664155857107	True
2.7.7.7: DNA-directed DNA polymerase	2.7.7.7	DNA-directed DNA polymerase	DNA–Protein	76	-0.013263318221184206	0.909463254305022	0.9392231775479873	False
2.7.7.8: Polyribonucleotide nucleotidyltransferase	2.7.7.8	Polyribonucleotide nucleotidyltransferase	DNA–Protein	76	0.26185210557830124	0.022314773403903372	0.05519233923410583	False
2.7.9.1: Pyruvate, phosphate dikinase	2.7.9.1	Pyruvate, phosphate dikinase	DNA–Protein	76	0.28405424629199105	0.012891948100504931	0.034133379366773124	True
2.8.1.10: Thiazole synthase	2.8.1.10	Thiazole synthase	DNA–Protein	76	0.29299848258509453	0.010210823734382358	0.028070870823789826	True
2.8.3.8: Acetate CoA-transferase	2.8.3.8	Acetate CoA-transferase	DNA–Protein	76	-0.00019489385252062033	0.9986668264231636	0.9986668264231636	False
3.1.1.11: Pectinesterase	3.1.1.11	Pectinesterase	DNA–Protein	76	0.2896248627578486	0.011158767765949209	0.03046459435063642	True
3.1.13.1: Exoribonuclease II	3.1.13.1	Exoribonuclease II	DNA–Protein	76	-0.016891579914987558	0.8848473459281623	0.9290251544495265	False
3.2.1.1: Alpha-amylase	3.2.1.1	Alpha-amylase	DNA–Protein	76	0.24086797315579325	0.03608185416361106	0.08472792540205097	False
3.2.1.21: Beta-glucosidase	3.2.1.21	Beta-glucosidase	DNA–Protein	76	0.1736927613652824	0.13347089567264644	0.23598396017811263	False
3.2.1.22: Alpha-galactosidase	3.2.1.22	Alpha-galactosidase	DNA–Protein	76	0.20395023815067745	0.07720229012540542	0.15743656994713204	False
3.2.1.23: Beta-galactosidase	3.2.1.23	Beta-galactosidase	DNA–Protein	76	0.17333175195947775	0.1342925197971769	0.23598396017811263	False
3.2.1.52: Beta-N-acetylhexosaminidase	3.2.1.52	Beta-N-acetylhexosaminidase	DNA–Protein	76	0.1921531843315143	0.0963273181512135	0.18746986063641374	False
3.2.1.55: Non-reducing end alpha-L-arabinofuranosidase	3.2.1.55	Non-reducing end alpha-L-arabinofuranosidase	DNA–Protein	76	0.14960230499586008	0.1970991383664003	0.3167234626702441	False
