Feature	EC	Description	LayerPair	Subjects	SpearmanRho	PValue	QValue	BH05
2.7.2.4: Aspartate kinase	2.7.2.4	Aspartate kinase	RNA–Protein	76	-0.06176633300062485	0.5960780932540072	0.702997930608986	False
2.7.3.9: Phosphoenolpyruvate--protein phosphotransferase	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	RNA–Protein	76	-0.0184818979945435	0.8740906737158013	0.9232363340853644	False
2.7.4.22: UMP kinase	2.7.4.22	UMP kinase	RNA–Protein	76	0.06509297513808698	0.5763967581442688	0.6849051839997411	False
2.7.4.25: (d)CMP kinase	2.7.4.25	(d)CMP kinase	RNA–Protein	76	0.25276384066708735	0.027599733465259877	0.06679812792665657	False
2.7.4.3: Adenylate kinase	2.7.4.3	Adenylate kinase	RNA–Protein	76	0.1751557304648336	0.1301802801901831	0.23238063590510058	False
2.7.4.6: Nucleoside-diphosphate kinase	2.7.4.6	Nucleoside-diphosphate kinase	RNA–Protein	76	0.04783562264373598	0.6815529269062593	0.7764748064594005	False
2.7.6.1: Ribose-phosphate diphosphokinase	2.7.6.1	Ribose-phosphate diphosphokinase	RNA–Protein	76	0.1917115856590168	0.0971094726285751	0.1882487646914146	False
2.7.7.12: UDP-glucose--hexose-1-phosphate uridylyltransferase	2.7.7.12	UDP-glucose--hexose-1-phosphate uridylyltransferase	RNA–Protein	76	-0.143911239201405	0.2148776568109027	0.3387692598726207	False
2.7.7.24: Glucose-1-phosphate thymidylyltransferase	2.7.7.24	Glucose-1-phosphate thymidylyltransferase	RNA–Protein	76	0.08352004684649762	0.473189995626658	0.6021724299184406	False
2.7.7.27: Glucose-1-phosphate adenylyltransferase	2.7.7.27	Glucose-1-phosphate adenylyltransferase	RNA–Protein	76	0.11401888782406037	0.32672942509015424	0.4644856151281652	False
2.7.7.4: Sulfate adenylyltransferase	2.7.7.4	Sulfate adenylyltransferase	RNA–Protein	76	0.07688095734090974	0.5091879000036698	0.6336739007932104	False
2.7.7.6: DNA-directed RNA polymerase	2.7.7.6	DNA-directed RNA polymerase	RNA–Protein	76	-0.12172248803827751	0.2948845907435207	0.43006273955016233	False
2.7.7.7: DNA-directed DNA polymerase	2.7.7.7	DNA-directed DNA polymerase	RNA–Protein	76	0.006465489975702552	0.9557948994125083	0.9680644103163916	False
2.7.7.8: Polyribonucleotide nucleotidyltransferase	2.7.7.8	Polyribonucleotide nucleotidyltransferase	RNA–Protein	76	0.2233762691725133	0.052421004546293906	0.11362684776655466	False
2.7.9.1: Pyruvate, phosphate dikinase	2.7.9.1	Pyruvate, phosphate dikinase	RNA–Protein	76	0.12476417028955786	0.28289211239395134	0.41719976949313575	False
2.8.1.10: Thiazole synthase	2.8.1.10	Thiazole synthase	RNA–Protein	76	0.16626750520772773	0.15115126566306536	0.2592572795829534	False
2.8.3.8: Acetate CoA-transferase	2.8.3.8	Acetate CoA-transferase	RNA–Protein	76	0.1870993772989257	0.10557888605508879	0.19833747880348823	False
3.1.1.11: Pectinesterase	3.1.1.11	Pectinesterase	RNA–Protein	76	0.4366713643524304	8.026160545772326e-05	0.00036817678317525377	True
3.1.13.1: Exoribonuclease II	3.1.13.1	Exoribonuclease II	RNA–Protein	76	0.07255492958055458	0.5333778080807343	0.6464440715448532	False
3.2.1.1: Alpha-amylase	3.2.1.1	Alpha-amylase	RNA–Protein	76	0.1609562522333795	0.16483160162734048	0.27788917453840095	False
3.2.1.21: Beta-glucosidase	3.2.1.21	Beta-glucosidase	RNA–Protein	76	-0.03839731259173627	0.7419185440046085	0.8256329072209255	False
3.2.1.22: Alpha-galactosidase	3.2.1.22	Alpha-galactosidase	RNA–Protein	76	0.32539135139202713	0.0041284275977714995	0.012338368843339824	True
3.2.1.23: Beta-galactosidase	3.2.1.23	Beta-galactosidase	RNA–Protein	76	-0.07065498584439162	0.5441786457226915	0.6536490689563651	False
3.2.1.52: Beta-N-acetylhexosaminidase	3.2.1.52	Beta-N-acetylhexosaminidase	RNA–Protein	76	0.18681610533557352	0.10611719805551632	0.1988752239092693	False
3.2.1.55: Non-reducing end alpha-L-arabinofuranosidase	3.2.1.55	Non-reducing end alpha-L-arabinofuranosidase	RNA–Protein	76	0.17340576361843363	0.134123764665369	0.23598396017811263	False
3.2.1.8: Endo-1,4-beta-xylanase	3.2.1.8	Endo-1,4-beta-xylanase	RNA–Protein	76	0.22358307755151158	0.05219731680952331	0.11345367207359199	False
3.3.1.1: Adenosylhomocysteinase	3.3.1.1	Adenosylhomocysteinase	RNA–Protein	76	0.20160249626093996	0.08074467641354197	0.16251925941399137	False
3.4.11.10: Bacterial leucyl aminopeptidase	3.4.11.10	Bacterial leucyl aminopeptidase	RNA–Protein	76	-0.06738415916493676	0.5630186258049437	0.6700176406638018	False
3.4.11.18: Methionyl aminopeptidase	3.4.11.18	Methionyl aminopeptidase	RNA–Protein	76	0.07471864597794045	0.5212081626825648	0.6395540285482793	False
3.4.11.1: Leucyl aminopeptidase	3.4.11.1	Leucyl aminopeptidase	RNA–Protein	76	-0.10606911820881411	0.36180022717943433	0.5034574589851387	False
3.4.11.4: Tripeptide aminopeptidase	3.4.11.4	Tripeptide aminopeptidase	RNA–Protein	76	0.28542529890388296	0.01244504897005209	0.033172782558686144	True
3.4.19.3: Pyroglutamyl-peptidase I	3.4.19.3	Pyroglutamyl-peptidase I	RNA–Protein	76	0.013559045568603706	0.9074533848918634	0.9383986645011176	False
3.4.21.53: Endopeptidase La	3.4.21.53	Endopeptidase La	RNA–Protein	76	-0.06199280867989169	0.5947287289794274	0.7024565376718087	False
3.4.21.92: Endopeptidase Clp	3.4.21.92	Endopeptidase Clp	RNA–Protein	76	-0.09980226890488147	0.3910135341552301	0.5346788188015191	False
3.5.1.18: Succinyl-diaminopimelate desuccinylase	3.5.1.18	Succinyl-diaminopimelate desuccinylase	RNA–Protein	76	0.21840272458448903	0.058041279100979885	0.12355987688797568	False
3.5.1.25: N-acetylglucosamine-6-phosphate deacetylase	3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	RNA–Protein	76	-0.13951074935289182	0.22937977163772552	0.35556117843254503	False
3.5.1.2: Glutaminase	3.5.1.2	Glutaminase	RNA–Protein	76	0.35214997262990877	0.0018105124217539146	0.005976963601522337	True
3.5.1.88: Peptide deformylase	3.5.1.88	Peptide deformylase	RNA–Protein	76	-0.014989114853946228	0.8977425327344789	0.9376000488861732	False
3.5.4.10: IMP cyclohydrolase	3.5.4.10	IMP cyclohydrolase	RNA–Protein	76	0.15955031162665553	0.16860122802349614	0.28363831324208627	False
3.5.4.16: GTP cyclohydrolase I	3.5.4.16	GTP cyclohydrolase I	RNA–Protein	76	0.07321882841875962	0.5296288540255292	0.6448721694847878	False
3.5.99.10: 2-iminobutanoate/2-iminopropanoate deaminase	3.5.99.10	2-iminobutanoate/2-iminopropanoate deaminase	RNA–Protein	76	0.508793844780008	2.6934167784402174e-06	1.673311683613647e-05	True
3.5.99.6: Glucosamine-6-phosphate deaminase	3.5.99.6	Glucosamine-6-phosphate deaminase	RNA–Protein	76	-0.23760302909631026	0.03875830584839422	0.08967830883983297	False
3.6.1.1: Inorganic diphosphatase	3.6.1.1	Inorganic diphosphatase	RNA–Protein	76	0.011255833391414482	0.9231212137073588	0.9458995293702677	False
3.6.1.23: dUTP diphosphatase	3.6.1.23	dUTP diphosphatase	RNA–Protein	76	0.02927425074196242	0.801790003311677	0.8686582238543032	False
3.6.3.14: H(+)-transporting two-sector ATPase	3.6.3.14	H(+)-transporting two-sector ATPase	RNA–Protein	76	-0.4746861757712722	1.475658341295742e-05	7.866854265421219e-05	True
3.6.3.17: Monosaccharide-transporting ATPase	3.6.3.17	Monosaccharide-transporting ATPase	RNA–Protein	76	-0.18248115325558936	0.11462362868146926	0.21081128911347144	False
3.6.4.12: DNA helicase	3.6.4.12	DNA helicase	RNA–Protein	76	0.1365060650984238	0.23966556800023767	0.3650504501007481	False
3.6.5.3: Protein-synthesizing GTPase	3.6.5.3	Protein-synthesizing GTPase	RNA–Protein	76	0.02698602913016493	0.8170026142068721	0.8782221561433544	False
4.1.1.11: Aspartate 1-decarboxylase	4.1.1.11	Aspartate 1-decarboxylase	RNA–Protein	76	-0.044820309075885675	0.7006434949854209	0.7942639619877832	False
4.1.1.15: Glutamate decarboxylase	4.1.1.15	Glutamate decarboxylase	RNA–Protein	76	0.08536774880507796	0.4634213967323264	0.594535743124887	False
4.1.1.19: Arginine decarboxylase	4.1.1.19	Arginine decarboxylase	RNA–Protein	76	-0.07709960974095353	0.5079803835548277	0.633169861966444	False
4.1.1.23: Orotidine-5'-phosphate decarboxylase	4.1.1.23	Orotidine-5'-phosphate decarboxylase	RNA–Protein	76	-0.02334048280433327	0.8413769067090593	0.8982494275938157	False
4.1.1.32: Phosphoenolpyruvate carboxykinase (GTP)	4.1.1.32	Phosphoenolpyruvate carboxykinase (GTP)	RNA–Protein	76	0.2891946431798382	0.011284993325299773	0.030702964598832833	True
4.1.1.3: Oxaloacetate decarboxylase	4.1.1.3	Oxaloacetate decarboxylase	RNA–Protein	76	0.033337586011744164	0.7749599837072993	0.8497894995137426	False
4.1.1.41: Methylmalonyl-CoA decarboxylase	4.1.1.41	Methylmalonyl-CoA decarboxylase	RNA–Protein	76	0.12633276764158252	0.2768359346645313	0.41134378992526405	False
4.1.1.49: Phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)	RNA–Protein	76	0.1743415881215582	0.13200381160262395	0.2345743408884466	False
4.1.2.13: Fructose-bisphosphate aldolase	4.1.2.13	Fructose-bisphosphate aldolase	RNA–Protein	76	0.2290680953051295	0.04654421957382314	0.10432781035155243	False
4.1.2.14: 2-dehydro-3-deoxy-phosphogluconate aldolase	4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase	RNA–Protein	76	0.1731101021096649	0.13479886911001066	0.2363473505062187	False
4.1.2.40: Tagatose-bisphosphate aldolase	4.1.2.40	Tagatose-bisphosphate aldolase	RNA–Protein	76	0.277499141351999	0.015225995515763393	0.039259184516135026	True
4.1.2.4: Deoxyribose-phosphate aldolase	4.1.2.4	Deoxyribose-phosphate aldolase	RNA–Protein	76	0.04039303588688758	0.7290092938548495	0.8170288818913014	False
4.1.3.16: 4-hydroxy-2-oxoglutarate aldolase	4.1.3.16	4-hydroxy-2-oxoglutarate aldolase	RNA–Protein	76	0.17557985130486914	0.12923794477403577	0.23122162908551977	False
4.1.3.36: 1,4-dihydroxy-2-naphthoyl-CoA synthase	4.1.3.36	1,4-dihydroxy-2-naphthoyl-CoA synthase	RNA–Protein	76	0.19005882902733393	0.10008103777463186	0.19106307531454073	False
4.1.3.3: N-acetylneuraminate lyase	4.1.3.3	N-acetylneuraminate lyase	RNA–Protein	76	0.13706775973463334	0.23771893492658483	0.3634888365447198	False
4.1.99.3: Deoxyribodipyrimidine photo-lyase	4.1.99.3	Deoxyribodipyrimidine photo-lyase	RNA–Protein	76	0.10804084563088436	0.3528935564088027	0.49280179824167314	False
4.2.1.11: Phosphopyruvate hydratase	4.2.1.11	Phosphopyruvate hydratase	RNA–Protein	76	0.01287940947230828	0.9120732813627507	0.9397610059058789	False
4.2.1.32: L(+)-tartrate dehydratase	4.2.1.32	L(+)-tartrate dehydratase	RNA–Protein	76	-0.014455094353554129	0.9013671094970437	0.9383986645011176	False
4.2.1.33: 3-isopropylmalate dehydratase	4.2.1.33	3-isopropylmalate dehydratase	RNA–Protein	76	0.2520849136601553	0.028033797115750183	0.06764118019671833	False
4.2.1.3: Aconitate hydratase	4.2.1.3	Aconitate hydratase	RNA–Protein	76	0.3668703466426288	0.0011150819206761232	0.003945289844903413	True
4.2.1.44: Myo-inosose-2 dehydratase	4.2.1.44	Myo-inosose-2 dehydratase	RNA–Protein	76	0.05588153623395863	0.631607865634245	0.7317747518141252	False
4.2.1.45: CDP-glucose 4,6-dehydratase	4.2.1.45	CDP-glucose 4,6-dehydratase	RNA–Protein	76	0.37482333088709513	0.0008499753360212597	0.0030904633185289123	True
4.2.1.46: dTDP-glucose 4,6-dehydratase	4.2.1.46	dTDP-glucose 4,6-dehydratase	RNA–Protein	76	-0.23738506353064454	0.03894271637680263	0.08968179811419338	False
4.2.1.47: GDP-mannose 4,6-dehydratase	4.2.1.47	GDP-mannose 4,6-dehydratase	RNA–Protein	76	0.003054921256975313	0.9791051075292085	0.9828421499243583	False
4.2.1.49: Urocanate hydratase	4.2.1.49	Urocanate hydratase	RNA–Protein	76	-0.017458665493114603	0.8810091751347079	0.9268216522417126	False
4.2.1.55: 3-hydroxybutyryl-CoA dehydratase	4.2.1.55	3-hydroxybutyryl-CoA dehydratase	RNA–Protein	76	0.2090120704902459	0.06998671927737067	0.14493312732242902	False
4.2.1.59: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	RNA–Protein	76	0.07383503770740857	0.5261609789286024	0.6426331460908161	False
4.2.1.8: Mannonate dehydratase	4.2.1.8	Mannonate dehydratase	RNA–Protein	76	-0.06414228021880855	0.5819906120181556	0.6905121697478569	False
4.2.1.99: 2-methylisocitrate dehydratase	4.2.1.99	2-methylisocitrate dehydratase	RNA–Protein	76	0.3426679840630112	0.002444663796328552	0.007778120226448827	True
4.2.1.9: Dihydroxy-acid dehydratase	4.2.1.9	Dihydroxy-acid dehydratase	RNA–Protein	76	-0.09883836745253712	0.3956280629649605	0.5372642713930358	False
4.2.3.1: Threonine synthase	4.2.3.1	Threonine synthase	RNA–Protein	76	0.34028665120994817	0.00263238977340966	0.008307822124880886	True
4.2.3.3: Methylglyoxal synthase	4.2.3.3	Methylglyoxal synthase	RNA–Protein	76	0.24030244602888634	0.036534071356873324	0.08553525905214555	False
4.2.3.5: Chorismate synthase	4.2.3.5	Chorismate synthase	RNA–Protein	76	0.3069447899436521	0.006997335733848265	0.020003253239153192	True
4.3.1.1: Aspartate ammonia-lyase	4.3.1.1	Aspartate ammonia-lyase	RNA–Protein	76	0.45563560064407416	3.5357121735673503e-05	0.00017545137766947417	True
4.3.1.3: Histidine ammonia-lyase	4.3.1.3	Histidine ammonia-lyase	RNA–Protein	76	0.0610450078044866	0.6003848983958037	0.7054702663346543	False
4.3.2.1: Argininosuccinate lyase	4.3.2.1	Argininosuccinate lyase	RNA–Protein	76	-0.014241778441438748	0.9028155237938221	0.9383986645011176	False
4.3.2.2: Adenylosuccinate lyase	4.3.2.2	Adenylosuccinate lyase	RNA–Protein	76	0.09912452217594347	0.3942547894426284	0.5372642713930358	False
4.3.3.6: Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)	4.3.3.6	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)	RNA–Protein	76	0.2987356404788222	0.008759386972688741	0.024335057469899356	True
4.3.3.7: 4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase	RNA–Protein	76	0.11453163380707183	0.32454429909748483	0.4622120071984035	False
4.4.1.21: S-ribosylhomocysteine lyase	4.4.1.21	S-ribosylhomocysteine lyase	RNA–Protein	76	-0.14165224928578854	0.22223931318429466	0.34860202406045426	False
4.99.1.3: Sirohydrochlorin cobaltochelatase	4.99.1.3	Sirohydrochlorin cobaltochelatase	RNA–Protein	76	0.28091062859878724	0.013969435138322928	0.03661755589414216	True
5.1.3.13: dTDP-4-dehydrorhamnose 3,5-epimerase	5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase	RNA–Protein	76	0.28784774939809593	0.011688232865349039	0.03139047538688905	True
5.1.3.2: UDP-glucose 4-epimerase	5.1.3.2	UDP-glucose 4-epimerase	RNA–Protein	76	-0.10069878661962689	0.38675046846094974	0.5300616342175519	False
5.1.3.3: Aldose 1-epimerase	5.1.3.3	Aldose 1-epimerase	RNA–Protein	76	-0.061012534745279956	0.6005791085813981	0.7054702663346543	False
5.1.3.4: L-ribulose-5-phosphate 4-epimerase	5.1.3.4	L-ribulose-5-phosphate 4-epimerase	RNA–Protein	76	-0.027384455819094784	0.814348753318985	0.8765636648958789	False
5.2.1.8: Peptidylprolyl isomerase	5.2.1.8	Peptidylprolyl isomerase	RNA–Protein	76	-0.14816536342827025	0.20148513168471516	0.3211550886853338	False
5.3.1.12: Glucuronate isomerase	5.3.1.12	Glucuronate isomerase	RNA–Protein	76	0.2384715297115759	0.038030709886292535	0.08851395309818529	False
5.3.1.14: L-rhamnose isomerase	5.3.1.14	L-rhamnose isomerase	RNA–Protein	76	0.16185508681341335	0.16245442986651695	0.2750569638727079	False
5.3.1.17: 5-dehydro-4-deoxy-D-glucuronate isomerase	5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase	RNA–Protein	76	0.3199025632362132	0.004846556686860764	0.014268407559452025	True
5.3.1.1: Triose-phosphate isomerase	5.3.1.1	Triose-phosphate isomerase	RNA–Protein	76	0.07103212576896788	0.54202622832804	0.6529140368714864	False
5.3.1.25: L-fucose isomerase	5.3.1.25	L-fucose isomerase	RNA–Protein	76	-0.194527360660276	0.09220650380419901	0.18187732875378254	False
5.3.1.4: L-arabinose isomerase	5.3.1.4	L-arabinose isomerase	RNA–Protein	76	0.18586934898393168	0.10793183355641035	0.20179672198106108	False
5.3.1.5: Xylose isomerase	5.3.1.5	Xylose isomerase	RNA–Protein	76	0.5136760382456305	2.079288108236814e-06	1.3671319311657053e-05	True
5.3.1.6: Ribose-5-phosphate isomerase	5.3.1.6	Ribose-5-phosphate isomerase	RNA–Protein	76	0.030671986134917163	0.7925332416634151	0.8601220463169663	False
5.3.1.9: Glucose-6-phosphate isomerase	5.3.1.9	Glucose-6-phosphate isomerase	RNA–Protein	76	0.11044504747385467	0.34221893326700203	0.4804461536435313	False
5.4.2.10: Phosphoglucosamine mutase	5.4.2.10	Phosphoglucosamine mutase	RNA–Protein	76	-0.009820304247631443	0.9329017297906013	0.9505639907981673	False
5.4.2.11: Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	5.4.2.11	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	RNA–Protein	76	0.05808089022081075	0.6182254942420046	0.7226369110473209	False
5.4.2.12: Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	5.4.2.12	Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	RNA–Protein	76	0.03372568319772693	0.7724105713136777	0.8497894995137426	False
5.4.2.2: Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	RNA–Protein	76	0.17181467286593458	0.1377871736134395	0.24105117512417687	False
5.4.2.7: Phosphopentomutase	5.4.2.7	Phosphopentomutase	RNA–Protein	76	-0.17336475551332176	0.13421724802483073	0.23598396017811263	False
5.4.2.8: Phosphomannomutase	5.4.2.8	Phosphomannomutase	RNA–Protein	76	-0.04624182888394088	0.691619600228876	0.7862937529979585	False
5.4.99.18: 5-(carboxyamino)imidazole ribonucleotide mutase	5.4.99.18	5-(carboxyamino)imidazole ribonucleotide mutase	RNA–Protein	76	-0.07507668020731906	0.5192080176666547	0.6395540285482793	False
5.4.99.5: Chorismate mutase	5.4.99.5	Chorismate mutase	RNA–Protein	76	0.05204522249910628	0.655233989111654	0.7525176381500654	False
5.4.99.9: UDP-galactopyranose mutase	5.4.99.9	UDP-galactopyranose mutase	RNA–Protein	76	0.18030360919321647	0.11909028628892959	0.21550971532560884	False
5.99.1.2: DNA topoisomerase	5.99.1.2	DNA topoisomerase	RNA–Protein	76	-0.0935834757059804	0.42134644553596706	0.559667248363431	False
5.99.1.3: DNA topoisomerase (ATP-hydrolyzing)	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing)	RNA–Protein	76	0.3742295858715732	0.0008675840645624758	0.0031400175547696947	True
6.1.1.10: Methionine--tRNA ligase	6.1.1.10	Methionine--tRNA ligase	RNA–Protein	76	0.14370534637987595	0.21554140488726944	0.3387692598726207	False
6.1.1.11: Serine--tRNA ligase	6.1.1.11	Serine--tRNA ligase	RNA–Protein	76	-0.11949143870596217	0.3038900602154021	0.4375351414415187	False
6.1.1.12: Aspartate--tRNA ligase	6.1.1.12	Aspartate--tRNA ligase	RNA–Protein	76	0.11564656497417146	0.3198251373606804	0.45714136481445083	False
6.1.1.14: Glycine--tRNA ligase	6.1.1.14	Glycine--tRNA ligase	RNA–Protein	76	-0.18386024972544002	0.11186228310065029	0.20701279667187023	False
6.1.1.15: Proline--tRNA ligase	6.1.1.15	Proline--tRNA ligase	RNA–Protein	76	-0.03519764402660502	0.7627633191140759	0.8417066556377705	False
6.1.1.16: Cysteine--tRNA ligase	6.1.1.16	Cysteine--tRNA ligase	RNA–Protein	76	0.3437888338014922	0.002360531290763366	0.007590930300440278	True
6.1.1.17: Glutamate--tRNA ligase	6.1.1.17	Glutamate--tRNA ligase	RNA–Protein	76	-0.11624969369008005	0.3172906977097058	0.4551679281690143	False
6.1.1.18: Glutamine--tRNA ligase	6.1.1.18	Glutamine--tRNA ligase	RNA–Protein	76	0.3192601341133078	0.0049374566615967225	0.014481982550185183	True
6.1.1.19: Arginine--tRNA ligase	6.1.1.19	Arginine--tRNA ligase	RNA–Protein	76	-0.09061243653458802	0.4363023833633989	0.570883218032706	False
6.1.1.1: Tyrosine--tRNA ligase	6.1.1.1	Tyrosine--tRNA ligase	RNA–Protein	76	-0.024641541095573826	0.8326596062583707	0.8914089950310101	False
6.1.1.20: Phenylalanine--tRNA ligase	6.1.1.20	Phenylalanine--tRNA ligase	RNA–Protein	76	0.1493613248277942	0.19782986615077505	0.31678336153972486	False
6.1.1.21: Histidine--tRNA ligase	6.1.1.21	Histidine--tRNA ligase	RNA–Protein	76	0.09153227425600101	0.4316402720719288	0.5676069577745864	False
6.1.1.22: Asparagine--tRNA ligase	6.1.1.22	Asparagine--tRNA ligase	RNA–Protein	76	0.13123340447482837	0.25847598391314414	0.3884524786808966	False
6.1.1.2: Tryptophan--tRNA ligase	6.1.1.2	Tryptophan--tRNA ligase	RNA–Protein	76	-0.2039420983371271	0.07721435396149573	0.15743656994713204	False
6.1.1.3: Threonine--tRNA ligase	6.1.1.3	Threonine--tRNA ligase	RNA–Protein	76	-0.0875528352633431	0.45201257569522174	0.5817910639861826	False
6.1.1.4: Leucine--tRNA ligase	6.1.1.4	Leucine--tRNA ligase	RNA–Protein	76	0.031241678981971385	0.7887684677039429	0.859583316323772	False
6.1.1.5: Isoleucine--tRNA ligase	6.1.1.5	Isoleucine--tRNA ligase	RNA–Protein	76	0.2509502230066072	0.02877211114664361	0.06900059481672283	False
6.1.1.6: Lysine--tRNA ligase	6.1.1.6	Lysine--tRNA ligase	RNA–Protein	76	0.14118743459120933	0.2237757485149543	0.35031560630614866	False
6.1.1.7: Alanine--tRNA ligase	6.1.1.7	Alanine--tRNA ligase	RNA–Protein	76	-0.16781628659262324	0.14732629680972692	0.2543554664833141	False
6.1.1.9: Valine--tRNA ligase	6.1.1.9	Valine--tRNA ligase	RNA–Protein	76	0.13280628334651404	0.25276273778420616	0.38059122158728753	False
6.2.1.30: Phenylacetate--CoA ligase	6.2.1.30	Phenylacetate--CoA ligase	RNA–Protein	76	0.41624121210089815	0.00018417486641028363	0.0007608061235482397	True
6.2.1.5: Succinate--CoA ligase (ADP-forming)	6.2.1.5	Succinate--CoA ligase (ADP-forming)	RNA–Protein	76	0.08167760708444109	0.48304021945476233	0.6117475652484871	False
6.3.1.1: Aspartate--ammonia ligase	6.3.1.1	Aspartate--ammonia ligase	RNA–Protein	76	-0.055885812210287884	0.6315817307236006	0.7317747518141252	False
6.3.1.2: Glutamate--ammonia ligase	6.3.1.2	Glutamate--ammonia ligase	RNA–Protein	76	0.02547389858274169	0.8270931615529022	0.8866528593277715	False
6.3.2.1: Pantoate--beta-alanine ligase (AMP-forming)	6.3.2.1	Pantoate--beta-alanine ligase (AMP-forming)	RNA–Protein	76	-0.076043601204419	0.5138258149866003	0.6344422034811074	False
6.3.2.4: D-alanine--D-alanine ligase	6.3.2.4	D-alanine--D-alanine ligase	RNA–Protein	76	0.09655651472072058	0.4066797456612618	0.5466274605225478	False
6.3.2.6: Phosphoribosylaminoimidazolesuccinocarboxamide synthase	6.3.2.6	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	RNA–Protein	76	-0.1251382952675272	0.28143973394116495	0.41645117615428134	False
6.3.2.8: UDP-N-acetylmuramate--L-alanine ligase	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase	RNA–Protein	76	0.09043529310313603	0.43720347120341124	0.5711151304296216	False
6.3.2.9: UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	RNA–Protein	76	0.11157515583967237	0.3372719248694372	0.4777514339712495	False
6.3.3.1: Phosphoribosylformylglycinamidine cyclo-ligase	6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase	RNA–Protein	76	0.08589339449506252	0.46066261645468015	0.5919589647927405	False
6.3.4.13: Phosphoribosylamine--glycine ligase	6.3.4.13	Phosphoribosylamine--glycine ligase	RNA–Protein	76	-0.09807035955355993	0.3993277469146039	0.5409057758836179	False
6.3.4.2: CTP synthase (glutamine hydrolyzing)	6.3.4.2	CTP synthase (glutamine hydrolyzing)	RNA–Protein	76	0.039489731237914154	0.7348432080582042	0.8200725476066806	False
6.3.4.3: Formate--tetrahydrofolate ligase	6.3.4.3	Formate--tetrahydrofolate ligase	RNA–Protein	76	-0.07482127464068586	0.520634434471298	0.6395540285482793	False
6.3.4.4: Adenylosuccinate synthase	6.3.4.4	Adenylosuccinate synthase	RNA–Protein	76	-0.16760138455436868	0.14785265813640086	0.2547068717677298	False
6.3.4.5: Argininosuccinate synthase	6.3.4.5	Argininosuccinate synthase	RNA–Protein	76	0.08926718338511946	0.44317158896558584	0.5751120240213922	False
6.3.5.2: GMP synthase (glutamine-hydrolyzing)	6.3.5.2	GMP synthase (glutamine-hydrolyzing)	RNA–Protein	76	0.012836332927966545	0.9123661983826403	0.9397610059058789	False
6.3.5.3: Phosphoribosylformylglycinamidine synthase	6.3.5.3	Phosphoribosylformylglycinamidine synthase	RNA–Protein	76	0.03173080443346876	0.785539965006429	0.8572490074551486	False
6.3.5.5: Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	RNA–Protein	76	0.078362499137598	0.5010349359316346	0.6264921782092864	False
6.4.1.1: Pyruvate carboxylase	6.4.1.1	Pyruvate carboxylase	RNA–Protein	76	0.2771176701558319	0.015372384146255098	0.03950752798500089	True
6.4.1.3: Propionyl-CoA carboxylase	6.4.1.3	Propionyl-CoA carboxylase	RNA–Protein	76	0.18895683101881267	0.10210150977680987	0.19322972937380986	False
