Module step	Module	KO id	Module Category	SGB_001 Module step presence	SGB_002 Module step presence	SGB_003 Module step presence	SGB_004 Module step presence	SGB_005 Module step presence	SGB_006 Module step presence	SGB_007 Module step presence	SGB_008 Module step presence	SGB_009 Module step presence	SGB_010 Module step presence	SGB_011 Module step presence	SGB_012 Module step presence	SGB_013 Module step presence	SGB_014 Module step presence	SGB_015 Module step presence	SGB_016 Module step presence	SGB_017 Module step presence	SGB_018 Module step presence	SGB_019 Module step presence	SGB_020 Module step presence	SGB_021 Module step presence	SGB_022 Module step presence	SGB_023 Module step presence	SGB_024 Module step presence	TRUNC_050 Module step presence	TRUNC_070 Module step presence	TRUNC_090 Module step presence	TRUNC_100 Module step presence
M00012+01	Glyoxylate cycle	K01647	Other carbohydrate metabolism	Absent	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present
M00012+02	Glyoxylate cycle	(K01681 or K01682)	Other carbohydrate metabolism	Present	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00012+03	Glyoxylate cycle	K01637	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00012+04	Glyoxylate cycle	(K01638 or K19282)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00012+05	Glyoxylate cycle	(K00026 or K00025 or K00024)	Other carbohydrate metabolism	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present
M00013+01	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	(K00248 or K00232)	Other carbohydrate metabolism	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00013+02	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	(K07511 or K14729)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00013+03	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K05605	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00013+04	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K23146	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00013+05	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K00140	Other carbohydrate metabolism	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent
M00014+01	Glucuronate pathway (uronate pathway)	K00012	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present
M00014+02	Glucuronate pathway (uronate pathway)	((K12447 and K16190) or (K00699 and (K01195 or K14756)))	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+03	Glucuronate pathway (uronate pathway)	K00002	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+04	Glucuronate pathway (uronate pathway)	K13247	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+05	Glucuronate pathway (uronate pathway)	K03331	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+06	Glucuronate pathway (uronate pathway)	(K05351 or K00008)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+07	Glucuronate pathway (uronate pathway)	K00854	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent
M00015+01	Proline biosynthesis, glutamate => proline	((K00931 and K00147) or K12657)	Arginine and proline metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present
M00015+02	Proline biosynthesis, glutamate => proline	K00286	Arginine and proline metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present
M00016+01	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	(K00928 or K12524 or K12525 or K12526)	Lysine metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Absent	Absent	Present	Present
M00016+02	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K00133	Lysine metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Absent	Present	Present	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present
M00016+03	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K01714	Lysine metabolism	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
M00016+04	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K00215	Lysine metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present
M00016+05	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K00674	Lysine metabolism	Absent	Present	Absent	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Present
M00016+06	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	(K00821 or K14267)	Lysine metabolism	Present	Present	Absent	Present	Present	Present	Present	Absent	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Present	Present
M00016+07	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K01439	Lysine metabolism	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Present	Present
