Model	Threshold	FPR	TPR
XGBoost	0.166677613556385	0.836065573770492	0.981132075471698
XGBoost	0.16634183563292	0.852459016393443	0.981132075471698
XGBoost	0.160802900791168	0.868852459016393	0.981132075471698
XGBoost	0.15424892231822	0.885245901639344	0.981132075471698
XGBoost	0.150763989984989	0.901639344262295	0.981132075471698
XGBoost	0.134903240203857	0.918032786885246	0.981132075471698
XGBoost	0.128259775787592	0.934426229508197	0.981132075471698
XGBoost	0.121492883563042	0.950819672131147	0.981132075471698
XGBoost	0.105620151571929	0.967213114754098	0.981132075471698
XGBoost	0.100833927839994	0.983606557377049	0.981132075471698
XGBoost	0.099798621237278	0.983606557377049	1
XGBoost	0.0728863585740328	1	1
XGBoost	-Inf	1	1
