Dataset	Library	Platform	PhageID	BreadthPct	MeanDepthX	InputGenomeCopies	InputCPM
lib3_pacbio	3	PacBio	vB_EcoS_swan01	100	1607.17	76036616.16	45076.84791
pooled_pacbio	pool	PacBio	vB_EcoS_swan01	100	3662.73	76036616.16	45076.84791
lib1_illumina	1	Illumina	vB_Vpa_sm033	100	332.182	82540671.33	48932.65214
lib2_illumina	2	Illumina	vB_Vpa_sm033	100	364.355	82540671.33	48932.65214
lib3_illumina	3	Illumina	vB_Vpa_sm033	100	210.966	82540671.33	48932.65214
pooled_illumina	pool	Illumina	vB_Vpa_sm033	100	907.502	82540671.33	48932.65214
lib1_nanopore	1	Nanopore	vB_Vpa_sm033	100	227.712	82540671.33	48932.65214
lib2_nanopore	2	Nanopore	vB_Vpa_sm033	100	224.876	82540671.33	48932.65214
lib3_nanopore	3	Nanopore	vB_Vpa_sm033	100	167.439	82540671.33	48932.65214
pooled_nanopore	pool	Nanopore	vB_Vpa_sm033	100	620.028	82540671.33	48932.65214
lib1_pacbio	1	PacBio	vB_Vpa_sm033	100	102.787	82540671.33	48932.65214
lib2_pacbio	2	PacBio	vB_Vpa_sm033	100	113.852	82540671.33	48932.65214
lib3_pacbio	3	PacBio	vB_Vpa_sm033	100	167.902	82540671.33	48932.65214
pooled_pacbio	pool	PacBio	vB_Vpa_sm033	100	384.541	82540671.33	48932.65214
lib1_illumina	1	Illumina	vB_VpaS_sm032	73.2852	2.3816	52465265.15	31103.02506
lib2_illumina	2	Illumina	vB_VpaS_sm032	94.1891	5.24851	52465265.15	31103.02506
lib3_illumina	3	Illumina	vB_VpaS_sm032	80.3691	3.07074	52465265.15	31103.02506
pooled_illumina	pool	Illumina	vB_VpaS_sm032	98.7158	10.7008	52465265.15	31103.02506
lib1_nanopore	1	Nanopore	vB_VpaS_sm032	89.8481	3.48234	52465265.15	31103.02506
lib2_nanopore	2	Nanopore	vB_VpaS_sm032	86.2189	4.29923	52465265.15	31103.02506
lib3_nanopore	3	Nanopore	vB_VpaS_sm032	78.7045	3.14369	52465265.15	31103.02506
pooled_nanopore	pool	Nanopore	vB_VpaS_sm032	99.3874	10.9253	52465265.15	31103.02506
lib1_pacbio	1	PacBio	vB_VpaS_sm032	25.8323	1.28077	52465265.15	31103.02506
lib2_pacbio	2	PacBio	vB_VpaS_sm032	40.9377	1.66053	52465265.15	31103.02506
lib3_pacbio	3	PacBio	vB_VpaS_sm032	57.4303	2.73575	52465265.15	31103.02506
pooled_pacbio	pool	PacBio	vB_VpaS_sm032	74.356	5.67705	52465265.15	31103.02506
