Feature	PathwayID	Description	Subjects	MedianLog2RNAoverDNA	MeanLog2RNAoverDNA	CILow	CIHigh	PValue	QValue	BH05
PWY66-400: glycolysis VI (metazoan)	PWY66-400	glycolysis VI (metazoan)	102	2.644441651479381	2.7449423518439597	2.430971885885068	2.8832620336580854	1.8229684908388888e-18	2.4008567814757344e-17	True
PWY66-409: superpathway of purine nucleotide salvage	PWY66-409	superpathway of purine nucleotide salvage	84	0.03901083525923827	0.23925801264103733	-0.29360097747788827	0.4126508386028625	0.24262060956157339	0.262527941628164	False
PWY66-422: D-galactose degradation V (Leloir pathway)	PWY66-422	D-galactose degradation V (Leloir pathway)	103	-0.8402503087550299	-0.843283835292662	-0.9599821139548952	-0.6952049543144613	4.752420464241556e-15	1.7592293297455584e-14	True
PWYG-321: mycolate biosynthesis	PWYG-321	mycolate biosynthesis	95	1.016494928106951	1.1614047387093467	0.6393549206812797	1.2758030616042086	5.1588017740722834e-11	1.1704378218594107e-10	True
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	103	0.06488782506324758	-0.00704975190227486	-0.0743978421264905	0.18811739219819718	0.491709112062501	0.516172251966108	False
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	102	0.09046794428525712	0.06454333693550666	-0.09892450848305662	0.28221850964238676	0.22369277017880507	0.24329471395736016	False
RHAMCAT-PWY: L-rhamnose degradation I	RHAMCAT-PWY	L-rhamnose degradation I	103	-1.4617532509636462	-1.559434875344961	-1.7791997906280597	-1.2109428964144648	2.3542190206899745e-17	1.9105392821753255e-16	True
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	94	-0.05521896511210237	0.09081891593997223	-0.1806537681307311	0.2509804454179475	0.8049111572146062	0.8165204527513553	False
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	SALVADEHYPOX-PWY	adenosine nucleotides degradation II	103	0.4376797030277201	0.5354894363398547	0.10476414755964203	0.7599236441457494	6.232487973949548e-05	9.069344568988653e-05	True
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	103	-0.07350852266557313	-0.15252392262932185	-0.39146425371092086	0.04665549382474384	0.056371463988560494	0.06682235337969811	False
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	SO4ASSIM-PWY	sulfate reduction I (assimilatory)	85	-1.313588957990512	-1.4246545196654778	-1.8053172425255137	-0.9740616169781345	1.770269043283623e-11	4.2934111279637294e-11	True
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	70	-1.1498134226069756	-1.1725610736878258	-1.5091237017314418	-0.8763720458799535	1.5746702466963554e-09	3.2896576440884256e-09	True
TCA: TCA cycle I (prokaryotic)	TCA	TCA cycle I (prokaryotic)	93	0.07979424463382513	0.39233843003708674	-0.32072332708529083	0.47687466456754657	0.1768118469964154	0.1958085484630068	False
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	THISYNARA-PWY	superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	103	-2.0925190291329887	-2.115743440507457	-2.2725634125949408	-1.8632595377052494	1.2469754626335515e-18	2.4008567814757344e-17	True
THRESYN-PWY: superpathway of L-threonine biosynthesis	THRESYN-PWY	superpathway of L-threonine biosynthesis	103	-0.5878476132201909	-0.583872538196474	-0.6429642540117004	-0.5348402718743986	1.2007768621433922e-15	5.390721657707569e-15	True
TRNA-CHARGING-PWY: tRNA charging	TRNA-CHARGING-PWY	tRNA charging	102	-1.0371382411519297	-1.0461090091567298	-1.2331142738791039	-0.7880845463854513	1.2629399581469595e-16	7.613723747685956e-16	True
TRPSYN-PWY: L-tryptophan biosynthesis	TRPSYN-PWY	L-tryptophan biosynthesis	96	-2.7397076427240563	-2.6337055593115974	-2.9221915364089917	-2.425840122089371	2.517116700156014e-17	1.9670800878997e-16	True
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	93	0.07569037251795578	0.14788486675834817	-0.15681852672598556	0.2766649988768341	0.6251757855758265	0.649813254958125	False
VALSYN-PWY: L-valine biosynthesis	VALSYN-PWY	L-valine biosynthesis	104	-0.7068960184404838	-0.6026269928090469	-0.7688208568885703	-0.5664133926306605	7.664305413200126e-15	2.7882214520434942e-14	True
