Dataset	FeatureSpace	SampleID	Axis1	Axis2	Axis1Variance	Axis2Variance	NegativeEigenvalues	NegativeEigenvalueMass	Correction	CorrectionNote	SubjectID	FamilyRole	AgeCategory	DaysFromFirstCollection	HotSpring	Temperature
AsnicarF_2017	Gene families	MV_FEI5_t1Q14	-0.0534034304775488	-0.30047654079005	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEI5		child			
AsnicarF_2017	Gene families	MV_FEI5_t2Q14	-0.358862435287231	0.331876404960809	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEI5		child			
AsnicarF_2017	Gene families	MV_FEI5_t3Q15	-0.228277435633216	-0.0199426520773803	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEI5		child			
AsnicarF_2017	Gene families	MV_FEM1_t1Q14	-0.255961571862489	0.251833244729246	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEM1		adult			
AsnicarF_2017	Gene families	MV_FEM2_t1Q14	-0.354365794285354	0.253165160039639	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEM2		adult			
AsnicarF_2017	Gene families	MV_FEM3_t1Q14	-0.326557153297118	0.214571268928212	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEM3		adult			
AsnicarF_2017	Gene families	MV_FEM4_t1Q14	-0.342570789850126	0.202473018674241	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEM4		adult			
AsnicarF_2017	Gene families	MV_FEM4_t2Q15	-0.373910184552148	0.181993429648476	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEM4		adult			
AsnicarF_2017	Gene families	MV_FEM5_t1Q14	-0.233301586195836	0.203713282442011	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEM5		adult			
AsnicarF_2017	Gene families	MV_FEM5_t2Q14	-0.0963472445645307	-0.326811285743775	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEM5		adult			
AsnicarF_2017	Gene families	MV_FEM5_t3Q15	-0.362651796876804	0.340291546831658	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_FEM5		adult			
AsnicarF_2017	Gene families	MV_MIM1_t1M14	0.537264196755926	0.124452879060697	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_MIM1		adult			
AsnicarF_2017	Gene families	MV_MIM2_t1M14	0.540510823533258	0.123917437705283	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_MIM2		adult			
AsnicarF_2017	Gene families	MV_MIM3_t1M14	0.522638718657275	0.116026294998713	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_MIM3		adult			
AsnicarF_2017	Gene families	MV_MIM4_t1M14	0.484828830344341	0.0982523343594159	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_MIM4		adult			
AsnicarF_2017	Gene families	MV_MIM4_t2F15	0.436551571973655	0.058628504387032	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_MIM4		adult			
AsnicarF_2017	Gene families	MV_MIM5_t1M14	0.533011303524307	0.114953118425425	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_MIM5		adult			
AsnicarF_2017	Gene families	MV_MIM5_t2M14	0.485313287056529	0.0914459875829886	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_MIM5		adult			
AsnicarF_2017	Gene families	MV_MIM5_t3F15	0.110997399257648	-0.0867837972400359	0.264438654128512	0.154133664180057	1	0.0230983717311009	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.0649974810044887 )^2, except diagonal elements	MV_MIM5		adult			
Western US hot springs	MAG catalog	AA01.0.1	0.111101903117362	0.125039398138788	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	56
Western US hot springs	MAG catalog	AA01.0.2	0.086607962218238	0.19755302518796	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	56.6
Western US hot springs	MAG catalog	AA01.0.3	0.128198276849848	0.195142352825964	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	56
Western US hot springs	MAG catalog	AA01.0.4	0.325514638011786	-0.200341165799775	0.103151925596214	0.0609107810338254	165	10.7062922601601	Cailliez	Cailliez correction applied to negative eigenvalues: D' = -0.5*(D + 0.388445254331181 )^2, except diagonal elements					AA01	33
