Habitat	FeatureID	PrevalenceAllSamples	OperationalCoreAllSamples	PrevalenceRepresentatives	OperationalCoreRepresentatives	AbsolutePrevalenceDifference	CoreClassificationChanged
Anterior nares	SP0320	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0321	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0322	0.010752688172043	FALSE	0.0135135135135135	FALSE	0.0027608253414705	FALSE
Anterior nares	SP0323	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0324	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0325	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0326	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0327	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0328	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0329	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0330	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0331	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0332	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0333	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0334	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0335	0	FALSE	0	FALSE	0	FALSE
Anterior nares	SP0336	0	FALSE	0	FALSE	0	FALSE
