Rank	Habitat	Subjects	FeatureID	Label	Phylum	MeanRelativeAbundance	MedianRelativeAbundance	DetectionPrevalence
Phylum	Supragingival plaque	88	PH0016	Eukaryota unclassified	Eukaryota unclassified	0	0	0
Phylum	Supragingival plaque	88	PH0017	Candidatus Melainabacteria	Candidatus Melainabacteria	0	0	0
Phylum	Supragingival plaque	88	PH0018	Cyanobacteria	Cyanobacteria	0	0	0
Phylum	Stool	95	PH0001	Bacteroidetes	Bacteroidetes	0.805592343604506	0.8612719	1
Phylum	Stool	95	PH0002	Firmicutes	Firmicutes	0.162897881696325	0.1111586	1
Phylum	Stool	95	PH0003	Proteobacteria	Proteobacteria	0.0204231209706221	0.0035045	0.989473684210526
Phylum	Stool	95	PH0004	Verrucomicrobia	Verrucomicrobia	0.00542411371856675	0.0001559	0.589473684210526
Phylum	Stool	95	PH0005	Lentisphaerae	Lentisphaerae	0.000106323158146211	0	0.115789473684211
Phylum	Stool	95	PH0006	Actinobacteria	Actinobacteria	0.00488206318548656	0.00183170018317002	0.989473684210526
Phylum	Stool	95	PH0007	Synergistetes	Synergistetes	0.0000134157885672633	0	0.273684210526316
Phylum	Stool	95	PH0008	Fusobacteria	Fusobacteria	0.000067205262413158	0	0.0736842105263158
Phylum	Stool	95	PH0009	Tenericutes	Tenericutes	0.00000554947257431601	0	0.0105263157894737
Phylum	Stool	95	PH0010	Spirochaetes	Spirochaetes	0.0000558557838881058	0	0.0105263157894737
Phylum	Stool	95	PH0011	Euryarchaeota	Euryarchaeota	0.000512196834265686	0	0.252631578947368
Phylum	Stool	95	PH0012	Ascomycota	Ascomycota	0.00000157578963126318	0	0.0105263157894737
Phylum	Stool	95	PH0013	Basidiomycota	Basidiomycota	0	0	0
Phylum	Stool	95	PH0014	Chloroflexi	Chloroflexi	0	0	0
Phylum	Stool	95	PH0015	Chlamydiae	Chlamydiae	0	0	0
Phylum	Stool	95	PH0016	Eukaryota unclassified	Eukaryota unclassified	0.0000183547350066318	0	0.0105263157894737
Phylum	Stool	95	PH0017	Candidatus Melainabacteria	Candidatus Melainabacteria	0	0	0
Phylum	Stool	95	PH0018	Cyanobacteria	Cyanobacteria	0	0	0
Phylum	Posterior fornix	42	PH0001	Bacteroidetes	Bacteroidetes	0.0418483375160745	0	0.404761904761905
Phylum	Posterior fornix	42	PH0002	Firmicutes	Firmicutes	0.869911938499497	0.9975458	1
Phylum	Posterior fornix	42	PH0003	Proteobacteria	Proteobacteria	0.000150726187093572	0	0.285714285714286
Phylum	Posterior fornix	42	PH0004	Verrucomicrobia	Verrucomicrobia	0	0	0
