TruthIndex	ExpectedOrganismGTDBRS207	StrainName	AssemblyAccession	ExpectedGenomePercent	SourceDOI	SupplementaryTable	PublisherXLSXBytes	PublisherXLSXSHA256	NCBIRetrievalDate	NCBIDatasetsVersion	CurrentAccession	PairedRefSeqAccession	NCBITaxID	NCBIOrganismName	NCBIStrain	AssemblyStatus	AssemblyLevel	SequenceReportRows	RefSeqSequenceAccessions	GenBankSequenceAccessions
11	Pyrobaculum calidifontis	JCM 11548	GCA_000015805.1	2.5449546574683057	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000015805.1	GCF_000015805.1	410359	Pyrobaculum calidifontis JCM 11548	JCM 11548	current	Complete Genome	1	NC_009073.1	CP000561.1
12	Shewanella baltica OS223	OS223	GCA_000021665.1	2.536452317303562	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000021665.1	GCF_000021665.1	407976	Shewanella baltica OS223	OS223	current	Complete Genome	4	NC_011663.1;NC_011664.1;NC_011665.1;NC_011668.1	CP001252.1;CP001253.1;CP001254.1;CP001255.1
13	Halobacterium salinarum	NRC-1	GCA_000006805.1	2.5322931915107527	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000006805.1	GCF_000006805.1	64091	Halobacterium salinarum NRC-1	NRC-1; ATCC 700922	current	Complete Genome	3	NC_001869.1;NC_002607.1;NC_002608.1	AE004437.1;AE004438.1;AF016485.1
14	Thermoanaerobacter pseudethanolicus	ATCC 33223	GCA_000019085.1	2.4816006004718845	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000019085.1	GCF_000019085.1	340099	Thermoanaerobacter pseudethanolicus ATCC 33223	ATCC 33223; 39E	current	Complete Genome	1	NC_010321.1	CP000924.1
15	Gemmatimonas aurantiaca	T-27	GCA_000010305.1	2.414901248417184	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000010305.1	GCF_000010305.1	379066	Gemmatimonas aurantiaca T-27	T-27	current	Complete Genome	1	NC_012489.1	AP009153.1
16	Chlorobium limicola	DSM 245	GCA_000020465.1	2.320980079770457	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000020465.1	GCF_000020465.1	290315	Chlorobium limicola DSM 245	DSM 245	current	Complete Genome	1	NC_010803.1	CP001097.1
17	Porphyromonas gingivalis	ATCC 33277	GCA_000010505.1	2.1700669467348193	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000010505.1	GCF_000010505.1	431947	Porphyromonas gingivalis ATCC 33277	ATCC 33277	current	Complete Genome	1	NC_010729.1	AP009380.1
18	Herpetosiphon aurantiacus	DSM 785	GCA_000018565.1	1.6502324032045181	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000018565.1	GCF_000018565.1	316274	Herpetosiphon aurantiacus DSM 785		current	Complete Genome	3	NC_009972.1;NC_009973.1;NC_009974.1	CP000875.1;CP000876.1;CP000877.1
19	Hydrogenobaculum sp000020785	Y04AAS1	GCA_000020785.1	1.6318937727031608	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000020785.1	GCF_000020785.1	380749	Hydrogenobaculum sp. Y04AAS1	Y04AAS1	current	Complete Genome	1	NC_011126.1	CP001130.1
20	Thermotoga neapolitana	DSM 4359	GCA_000018945.1	1.6074819757894294	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000018945.1	GCF_000018945.1	309803	Thermotoga neapolitana DSM 4359	DSM 4359	current	Complete Genome	1	NC_011978.1	CP000916.1
