TruthIndex	ExpectedOrganismGTDBRS207	StrainName	AssemblyAccession	ExpectedGenomePercent	SourceDOI	SupplementaryTable	PublisherXLSXBytes	PublisherXLSXSHA256	NCBIRetrievalDate	NCBIDatasetsVersion	CurrentAccession	PairedRefSeqAccession	NCBITaxID	NCBIOrganismName	NCBIStrain	AssemblyStatus	AssemblyLevel	SequenceReportRows	RefSeqSequenceAccessions	GenBankSequenceAccessions
46	Methanococcus maripaludis	S2	GCA_000011585.1	0.45961592475076873	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000011585.1	GCF_000011585.1	267377	Methanococcus maripaludis S2	S2	current	Complete Genome	1	NC_005791.1	BX950229.1
47	Pyrococcus furiosus	DSM 3638	GCA_000007305.1	0.40183494591604835	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000007305.1	GCF_000007305.1	186497	Pyrococcus furiosus DSM 3638	DSM 3638	current	Complete Genome	1	NC_003413.1	AE009950.1
48	Micromonospora arenicola	CNS-205	GCA_000018265.1	0.3905638725665548	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000018265.1	GCF_000018265.1	391037	Salinispora arenicola CNS-205	CNS-205	suppressed	Complete Genome	0		
49	Bacteroides thetaiotaomicron	VPI-5482	GCA_000011065.1	0.32350981446709626	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000011065.1	GCF_000011065.1	226186	Bacteroides thetaiotaomicron VPI-5482	VPI-5482	current	Complete Genome	2	NC_004663.1;NC_004703.1	AE015928.1;AY171301.1
50	Ruminiclostridium thermocellum	ATCC 27405	GCA_000015865.1	0.2688448965555986	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000015865.1	GCF_000015865.1	203119	Acetivibrio thermocellus ATCC 27405	ATCC 27405	current	Complete Genome	1	NC_009012.1	CP000568.1
51	Chlorobaculum tepidum	TLS	GCA_000006985.1	0.24328205268728792	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000006985.1	GCF_000006985.1	194439	Chlorobaculum tepidum TLS	TLS	current	Complete Genome	1	NC_002932.3	AE006470.1
52	Pyrobaculum aerophilum	IM2	GCA_000007225.1	0.2290245053808944	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000007225.1	GCF_000007225.1	178306	Pyrobaculum aerophilum str. IM2	IM2	current	Complete Genome	1	NC_003364.1	AE009441.1
53	Caldicellulosiruptor bescii	DSM 6725	GCA_000022325.1	0.214992735486677	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000022325.1	GCF_000022325.1	521460	Caldicellulosiruptor bescii DSM 6725	DSM 6725	current	Complete Genome	3	NC_012034.1;NC_012036.1;NC_012037.1	CP001393.1;CP001394.1;CP001395.1
54	Methanopyrus kandleri	AV19	GCA_000007185.1	0.21020646503806134	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000007185.1	GCF_000007185.1	190192	Methanopyrus kandleri AV19	AV19	current	Complete Genome	1	NC_003551.1	AE009439.1
55	Chloroflexus aurantiacus	J-10-fl	GCA_000018865.1	0.20326572701485365	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000018865.1	GCF_000018865.1	324602	Chloroflexus aurantiacus J-10-fl	J-10-fl	current	Complete Genome	1	NC_010175.1	CP000909.1
56	Acidobacterium capsulatum	ATCC 51196	GCA_000022565.1	0.19978032180854857	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000022565.1	GCF_000022565.1	240015	Acidobacterium capsulatum ATCC 51196	ATCC 51196	current	Complete Genome	1	NC_012483.1	CP001472.1
57	Methanosarcina acetivorans	C2A	GCA_000007345.1	0.1769944593465906	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000007345.1	GCF_000007345.1	188937	Methanosarcina acetivorans C2A	C2A	current	Complete Genome	1	NC_003552.1	AE010299.1
58	Enterococcus faecalis	OG1RF	GCA_000172575.2	0.1523040304414984	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000172575.2	GCF_000172575.2	474186	Enterococcus faecalis OG1RF	OG1RF	current	Complete Genome	1	NC_017316.1	CP002621.1
59	Sulfurisphaera tokodaii	str. 7	GCA_000011205.1	0.07540606392498685	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000011205.1	GCF_000011205.1	273063	Sulfurisphaera tokodaii str. 7	7	current	Complete Genome	1	NC_003106.2	BA000023.2
60	Ruegeria pomeroyi	DSS-3	GCA_000011965.2	0.0665347622867531	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000011965.2	GCF_000011965.2	246200	Ruegeria pomeroyi DSS-3	DSS-3	current	Complete Genome	2	NC_003911.12;NC_006569.1	CP000031.2;CP000032.1
61	Methanomassiliicoccus luminyensis	B10	GCA_000308215.1	0.05828140436950319	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000308215.1	GCF_000308215.1	1175296	Methanomassiliicoccus luminyensis B10	B10	current	Contig	26	NZ_CAJE01000001.1;NZ_CAJE01000002.1;NZ_CAJE01000003.1;NZ_CAJE01000004.1;NZ_CAJE01000005.1;NZ_CAJE01000006.1;NZ_CAJE01000007.1;NZ_CAJE01000008.1;NZ_CAJE01000009.1;NZ_CAJE01000010.1;NZ_CAJE01000011.1;NZ_CAJE01000012.1;NZ_CAJE01000013.1;NZ_CAJE01000014.1;NZ_CAJE01000015.1;NZ_CAJE01000016.1;NZ_CAJE01000017.1;NZ_CAJE01000018.1;NZ_CAJE01000019.1;NZ_CAJE01000020.1;NZ_CAJE01000021.1;NZ_CAJE01000022.1;NZ_CAJE01000023.1;NZ_CAJE01000024.1;NZ_CAJE01000025.1;NZ_CAJE01000026.1	CAJE01000001.1;CAJE01000002.1;CAJE01000003.1;CAJE01000004.1;CAJE01000005.1;CAJE01000006.1;CAJE01000007.1;CAJE01000008.1;CAJE01000009.1;CAJE01000010.1;CAJE01000011.1;CAJE01000012.1;CAJE01000013.1;CAJE01000014.1;CAJE01000015.1;CAJE01000016.1;CAJE01000017.1;CAJE01000018.1;CAJE01000019.1;CAJE01000020.1;CAJE01000021.1;CAJE01000022.1;CAJE01000023.1;CAJE01000024.1;CAJE01000025.1;CAJE01000026.1
62	Desulfovibrio mercurii ND 132	ND132	GCA_000189295.2	0.052882174700640126	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000189295.2	GCF_000189295.2	641491	Pseudodesulfovibrio mercurii	ND132	current	Complete Genome	1	NC_016803.1	CP003220.1
63	Leptothrix cholodnii	SP-6	GCA_000019785.1	0.04976483843696625	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000019785.1	GCF_000019785.1	395495	Leptothrix cholodnii SP-6	SP-6	current	Complete Genome	1	NC_010524.1	CP001013.1
64	Haloferax volcanii	DS2	GCA_000025685.1	0.04827100509423553	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000025685.1	GCF_000025685.1	309800	Haloferax volcanii DS2	DS2	current	Complete Genome	5	NC_013964.1;NC_013965.1;NC_013966.1;NC_013967.1;NC_013968.1	CP001953.1;CP001954.1;CP001955.1;CP001956.1;CP001957.1
65	Pyrobaculum arsenaticum	DSM 13514	GCA_000016385.1	0.047993562854174394	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000016385.1	GCF_000016385.1	340102	Pyrobaculum arsenaticum DSM 13514	DSM 13514	current	Complete Genome	1	NC_009376.1	CP000660.1
66	Methanomethylovorans hollandica	DSM 15978	GCA_000328665.1	0.04695488297912004	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000328665.1	GCF_000328665.1	867904	Methanomethylovorans hollandica DSM 15978	DSM 15978	current	Complete Genome	2	NC_019972.1;NC_019977.1	CP003362.1;CP003363.1
67	Aciduliprofundum boonei	T469	GCA_000025665.1	0.03425241800091933	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000025665.1	GCF_000025665.1	439481	Aciduliprofundum boonei T469	T469	current	Complete Genome	1	NC_013926.1	CP001941.1
68	Acidilobus saccharovorans	345-15	GCA_000144915.1	0.03416046520091686	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000144915.1	GCF_000144915.1	666510	Acidilobus saccharovorans 345-15	345-15	current	Complete Genome	1	NC_014374.1	CP001742.1
69	Nitratidesulfovibrio vulgaris	Hildenborough	GCA_000195755.1	0.027146183012995262	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000195755.1	GCF_000195755.1	882	Nitratidesulfovibrio vulgaris str. Hildenborough	Hildenborough	current	Complete Genome	2	NC_002937.3;NC_005863.1	AE017285.1;AE017286.1
70	Desulfitobacterium dehalogenans	ATCC 51507	GCA_000243155.3	0.0035346592464837586	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000243155.3	GCF_000243155.2	756499	Desulfitobacterium dehalogenans ATCC 51507	ATCC 51507	current	Complete Genome	1	NC_018017.1	CP003348.1
71	Geobacter bemidjiensis	Bem	GCA_000020725.1	0.0033123054110216566	10.1038/s41597-022-01762-z	S3	18203	6bb36d2121ff74b0542620e1e15b96d83256c797576f6e9fb192929f1ec3c12f	2026-07-21	18.33.1	GCA_000020725.1	GCF_000020725.1	404380	Citrifermentans bemidjiense Bem	Bem	current	Complete Genome	1	NC_011146.1	CP001124.1
