sample	hotspring	hotspring_common_name	region	broad_region_short	latitude	longitude	date	year	pH	temperature	conductivity	temperature_regime	type	sequencing_platform	metagenome_SRR	metagenome_SAMN	raw_Nsequences	filtered_Nsequences	metagenome2MAG_read_recruitment_rate
AA03.2.7	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677229	-118.34677	2022.07.31	2022	8.56	54.5	2.87	50_70	mat_and_filaments	Illumina NovaSeq X Plus	SRR32675008	SAMN47273680	36265302	24962180	0.09992
AA03.3.1	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677455	-118.34698	2023.09.10	2023	8.76	71.9		70_80	mat	Illumina NovaSeq X Plus	SRR32674994	SAMN47273815	28915225	19493161	0.141435
AA03.3.2	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677526	-118.34707	2023.09.10	2023	8.46	70.8		70_80	mat	Illumina NovaSeq X Plus	SRR32674993	SAMN47273816	35769826	24319296	0.119405
AA03.3.3	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677465	-118.34712	2023.09.10	2023	8.52	66.9	2.9	50_70	mat	Illumina NovaSeq X Plus	SRR32674992	SAMN47273817	31441460	21158313	0.155885
AA03.3.4	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677563	-118.34707	2023.09.10	2023	8.7	71.7	2.58	70_80	mat	Illumina NovaSeq X Plus	SRR32674991	SAMN47273818	28414389	19446940	0.111825
AA03.3.5	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.67744	-118.3469	2023.09.10	2023	8.54	64.4	2.9	50_70	mat	Illumina NovaSeq X Plus	SRR32674990	SAMN47273819	40357774	26385216	0.099465
AA03.3.6	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677256	-118.34673	2023.09.10	2023	8.68	56.7	2.87	50_70	mat	Illumina NovaSeq X Plus	SRR32674989	SAMN47273820	48410407	31575396	0.108045
AA03.3.7	AA03	Mickey Hot Springs	Alvord Desert	ALV	42.677181	-118.34657	2023.09.10	2023	8.7	57	2.89	50_70	mat	Illumina NovaSeq X Plus	SRR32674988	SAMN47273821	34348664	23227704	0.120705
AB02.0.1	AB02		Borax Lake	ALV	42.332716	-118.60307	2020.08.11	2020	6.717	76.9	1.96	70_80	sediment	Illumina NextSeq2000	SRR32625317	SAMN47273179	8221016	3019743	0.08262
AB02.0.2	AB02		Borax Lake	ALV	42.332747	-118.60308	2020.08.11	2020	6.737428571	68.5	1.9	50_70	sediment	Illumina NextSeq2000	SRR32625306	SAMN47273180	9629797	4012998	0.10017
AB02.1.1	AB02		Borax Lake	ALV	42.332744	-118.6031	2021.09.12	2021	6.83		2.34		sediment	Illumina NextSeq2000	SRR32625419	SAMN47273311	1344093	562547	0.08778
AB02.1.2	AB02		Borax Lake	ALV	42.332702	-118.60311	2021.09.12	2021	7.17	53.8		50_70	mat	Illumina NextSeq2000	SRR32625418	SAMN47273312	6700089	3328130	0.083005
AB02.2.1	AB02		Borax Lake	ALV	42.332708	-118.60312	2022.08.01	2022	6.86	72.6	2.25	70_80	mat	Illumina NovaSeq X Plus	SRR32674997	SAMN47273681	33474458	22744111	0.08838
AB02.2.2	AB02		Borax Lake	ALV	42.332774	-118.60311	2022.08.01	2022	7.39	47.8		30_50	mat	Illumina NovaSeq X Plus	SRR32674986	SAMN47273682	30949602	20886268	0.044625
AB02.3.1	AB02		Borax Lake	ALV	42.332808	-118.60309	2023.09.12	2023	6.99	72.1	2.25	70_80	mat	Illumina NovaSeq X Plus	SRR32674987	SAMN47273822	31594087	21630353	0.043195
AB02.3.2	AB02		Borax Lake	ALV	42.332827	-118.60305	2023.09.12	2023	7.04	65.3	2.28	50_70	mat	Illumina NovaSeq X Plus	SRR32674985	SAMN47273823	43183315	30233838	0.073905
AB03.0.1	AB03		Borax Lake	ALV	42.33127	-118.60363	2020.08.11	2020	6.99962963	87.3	1.97	80_100	sediment	Illumina NextSeq2000	SRR32625427	SAMN47273181	879445	343452	0.114215
AB03.0.2	AB03		Borax Lake	ALV	42.331186	-118.6036	2020.08.11	2020	6.913703704	70	1.99	70_80	mat	Illumina NextSeq2000	SRR32625416	SAMN47273182	2950095	1057289	0.081575
AB03.0.3	AB03		Borax Lake	ALV	42.331211	-118.60356	2020.08.11	2020	8.224074074	43.6	2.01	30_50	mat	Illumina NextSeq2000	SRR32625405	SAMN47273183	3652686	1843178	0.08276
AB03.1.1	AB03		Borax Lake	ALV	42.331272	-118.60365	2021.09.12	2021	7.12	89.6	2.37	80_100	sediment	Illumina NextSeq2000	SRR32625417	SAMN47273314	3027487	1257636	0.07335
AB03.1.2	AB03		Borax Lake	ALV	42.331288	-118.60359	2021.09.12	2021	7.07	67.6	2.37	50_70	mat	Illumina NextSeq2000	SRR32625415	SAMN47273315	10477818	5243723	0.097915
AB03.1.3	AB03		Borax Lake	ALV	42.331317	-118.60366	2021.09.12	2021	8.38	43.7	2.49	30_50	mat	Illumina NextSeq2000	SRR32625414	SAMN47273316	2024062	970036	0.16652
AB03.2.1	AB03		Borax Lake	ALV	42.331214	-118.60361	2022.08.01	2022	8.31	38	2.38	30_50	mat	Illumina NovaSeq X Plus	SRR32674975	SAMN47273683	31825311	21960230	0.170715
AB03.3.1	AB03		Borax Lake	ALV	42.331268	-118.60363	2023.09.13	2023	7.77	44.5	2.27	30_50	mat	Illumina NovaSeq X Plus	SRR32674984	SAMN47273824	33566950	22255980	0.133885
AB04.0.1	AB04		Borax Lake	ALV	42.3331	-118.60337	2020.08.12	2020	6.978148148	71	1.95	70_80	mat	Illumina NextSeq2000	SRR32625359	SAMN47273184	1562881	543624	0.08632
AB04.1.1	AB04		Borax Lake	ALV	42.333059	-118.60329	2021.09.12	2021	6.85	67.7	2.38	50_70	mat	Illumina NextSeq2000	SRR32625413	SAMN47273317	29786921	14965980	0.109405
AB04.2.1	AB04		Borax Lake	ALV	42.333072	-118.6033	2022.08.01	2022	6.9	71.1	2.28	70_80	mat	Illumina NovaSeq X Plus	SRR32674932	SAMN47273684	40847423	28729507	0.094425
AB04.3.1	AB04		Borax Lake	ALV	42.333149	-118.60331	2023.09.12	2023	6.98	70.2	2.24	70_80	mat	Illumina NovaSeq X Plus	SRR32674983	SAMN47273825	25169168	17495033	0.12637
AB07.0.1	AB07		Borax Lake	ALV	42.333249	-118.60333	2020.08.11	2020	7.074814815	56.3	1.99	50_70	mat	Illumina NextSeq2000	SRR32625348	SAMN47273185	3926069	1952267	0.100155
AB07.0.2	AB07		Borax Lake	ALV	42.333279	-118.60335	2020.08.11	2020	7.074814815	56.3	1.99	50_70	mat	Illumina NextSeq2000	SRR32625337	SAMN47273186	453609	175439	0.046915
AB07.1.1	AB07		Borax Lake	ALV	42.333237	-118.6033	2021.09.12	2021	7.35	52.8	2.34	50_70	mat	Illumina NextSeq2000	SRR32625412	SAMN47273318	7370983	3682373	0.08087
AB07.2.1	AB07		Borax Lake	ALV	42.333266	-118.60328	2022.08.01	2022	7.16	52.2	2.26	50_70	mat	Illumina NovaSeq X Plus	SRR32674921	SAMN47273685	961404	620412	0.08907
AB07.3.1	AB07		Borax Lake	ALV	42.333274	-118.60332	2023.09.12	2023	7.29	50.2	2.24	50_70	mat	Illumina NovaSeq X Plus	SRR32674982	SAMN47273826	27501804	18429530	0.15082
AB07.3.2	AB07		Borax Lake	ALV	42.333252	-118.60333	2023.09.12	2023	7.28	49.9	2.24	30_50	mat	Illumina NovaSeq X Plus	SRR32674981	SAMN47273827	44936331	32438397	0.134565
AB08.0.2	AB08		Borax Lake	ALV	42.33402	-118.60302	2020.08.11	2020	7.332592593	66.1		50_70	mat	Illumina NextSeq2000	SRR32625294	SAMN47273188	1068215	546531	0.150795
AB08.0.3	AB08		Borax Lake	ALV	42.334015	-118.603	2020.08.11	2020	7.794444444	52.6		50_70	mat	Illumina NextSeq2000	SRR32625283	SAMN47273189	13425413	6896106	0.081485
AB08.1.2	AB08		Borax Lake	ALV	42.334009	-118.60305	2021.09.13	2021	8.04	48.5		30_50	mat	Illumina NextSeq2000	SRR32625411	SAMN47273320	2047272	1022205	0.13825
AB08.1.3	AB08		Borax Lake	ALV	42.334003	-118.60302	2021.09.13	2021	7.67	59		50_70	mat	Illumina NextSeq2000	SRR32625410	SAMN47273321	1498930	725125	0.07204
AB08.2.1	AB08		Borax Lake	ALV	42.334008	-118.60309	2022.08.01	2022	6.99	90	2.32	80_100	mat	Illumina NovaSeq X Plus	SRR32674910	SAMN47273686	32326126	21851714	0.097665
AB08.2.2	AB08		Borax Lake	ALV	42.334023	-118.60305	2022.08.01	2022	7.43	47.9	2.87	30_50	mat	Illumina NovaSeq X Plus	SRR32674867	SAMN47273687	40743385	28577519	0.102945
AB08.2.4	AB08		Borax Lake	ALV	42.333963	-118.60303	2022.08.01	2022	7.85	51.8		50_70	mat	Illumina NovaSeq X Plus	SRR32674855	SAMN47273689	34741184	23463911	0.06943
AB08.3.2	AB08		Borax Lake	ALV	42.333984	-118.60303	2023.09.12	2023	8.14	53.7		50_70	mat	Illumina NovaSeq X Plus	SRR32674980	SAMN47273829	27379736	19286383	0.09048
AB08.3.3	AB08		Borax Lake	ALV	42.333994	-118.60299	2023.09.12	2023	8.17	50.9		50_70	mat	Illumina NovaSeq X Plus	SRR32674979	SAMN47273830	28582735	19131922	0.13455
AB08.3.4	AB08		Borax Lake	ALV	42.333972	-118.60292	2023.09.12	2023	8.12	54		50_70	mat	Illumina NovaSeq X Plus	SRR32674978	SAMN47273831	33866493	22469861	0.110815
AB09.0.3	AB09		Borax Lake	ALV	42.334196	-118.603	2020.08.11	2020	7.848148148	44.2	2.09	30_50	mat	Illumina NextSeq2000	SRR32625272	SAMN47273193	2147707	924763	0.085785
AB09.1.2	AB09		Borax Lake	ALV	42.334154	-118.603	2021.09.13	2021	7.73	36.3		30_50	mat	Illumina NextSeq2000	SRR32625409	SAMN47273323	9594870	4662570	0.137045
AB09.2.2	AB09		Borax Lake	ALV	42.334158	-118.60303	2022.08.01	2022	7.28	46	2.4	30_50	mat	Illumina NovaSeq X Plus	SRR32674844	SAMN47273691	34598436	23528934	0.069635
AB09.3.1	AB09		Borax Lake	ALV	42.334173	-118.60305	2023.09.12	2023	7.91	61.8	2.34	50_70	mat	Illumina NovaSeq X Plus	SRR32674977	SAMN47273832	31780562	22901640	0.082555
AB09.3.2	AB09		Borax Lake	ALV	42.334148	-118.60301	2023.09.12	2023	7.53	42.3		30_50	mat	Illumina NovaSeq X Plus	SRR32674976	SAMN47273833	25520085	17224233	0.06528
AB11A.0.1	AB11		Borax Lake	ALV	42.334555	-118.60296	2020.08.11	2020	6.817037037	59.8	2.05	50_70	mat	Illumina NextSeq2000	SRR32625392	SAMN47273194	3197722	1461759	0.06454
AB11A.1.1	AB11		Borax Lake	ALV	42.334533	-118.60292	2021.09.13	2021	7.1	50	2.43	50_70	mat	Illumina NextSeq2000	SRR32625408	SAMN47273324	7297433	3691892	0.17456
AB11A.2.1	AB11		Borax Lake	ALV	42.334542	-118.60293	2022.08.01	2022	6.98	55.4	2.36	50_70	mat	Illumina NovaSeq X Plus	SRR32674961	SAMN47273692	30629542	20595876	0.176775
AB11A.3.1	AB11		Borax Lake	ALV	42.334619	-118.60286	2023.09.11	2023	7.18	55.1	2.35	50_70	mat	Illumina NovaSeq X Plus	SRR32674974	SAMN47273834	29236562	18670243	0.17976
AB11B.0.1	AB11		Borax Lake	ALV	42.334596	-118.60296	2020.08.11	2020	6.870740741	64	2.07	50_70	mat	Illumina NextSeq2000	SRR32625385	SAMN47273195	6574842	3475216	0.059195
AB11B.1.1	AB11		Borax Lake	ALV	42.334592	-118.60288	2021.09.12	2021	7.09	52.2	2.48	50_70	mat	Illumina NextSeq2000	SRR32625407	SAMN47273325	19714672	10112594	0.063295
AB11B.2.1	AB11		Borax Lake	ALV	42.334589	-118.60289	2022.08.01	2022	7.04	54.4	2.41	50_70	mat	Illumina NovaSeq X Plus	SRR32674950	SAMN47273693	38448556	26666486	0.248705
AB11B.3.1	AB11		Borax Lake	ALV	42.334646	-118.60291	2023.09.11	2023	7.22	57.9	2.38	50_70	mat	Illumina NovaSeq X Plus	SRR32674973	SAMN47273835	34951920	23966417	0.07551
AB11C.0.1	AB11		Borax Lake	ALV	42.334623	-118.60297	2020.08.11	2020	6.817037037	77.2	2.06	70_80	mat	Illumina NextSeq2000	SRR32625384	SAMN47273196	3337539	1668919	0.081095
AB11C.1.1	AB11		Borax Lake	ALV	42.334643	-118.6029	2021.09.12	2021	7.26	70.1	2.48	70_80	sediment	Illumina NextSeq2000	SRR32625406	SAMN47273326	8224545	3989958	0.088335
AB11C.2.1	AB11		Borax Lake	ALV	42.33464	-118.60287	2022.08.01	2022	7.05	74.1	2.42	70_80	mat	Illumina NovaSeq X Plus	SRR32674939	SAMN47273694	34262247	23090919	0.05467
AB11C.3.1	AB11		Borax Lake	ALV	42.334673	-118.60289	2023.09.11	2023	7.32	72.2	2.38	70_80	mat	Illumina NovaSeq X Plus	SRR32674972	SAMN47273836	34866488	24043880	0.05158
AB11D.1.1	AB11		Borax Lake	ALV	42.334669	-118.60291	2021.09.12	2021	7.07	75.4	2.49	70_80	sediment	Illumina NextSeq2000	SRR32625404	SAMN47273327	4482116	2068258	0.088185
AB11D.3.1	AB11		Borax Lake	ALV	42.334763	-118.60292	2023.09.11	2023	7.24	74.2	2.43	70_80	mat	Illumina NovaSeq X Plus	SRR32674971	SAMN47273837	33717096	22098214	0.073115
AB11E.3.1	AB11		Borax Lake	ALV	42.334768	-118.60279	2023.09.11	2023	7.07	89.9	2.33	80_100	sediment	Illumina NovaSeq X Plus	SRR32674970	SAMN47273838	33910067	22556492	0.131245
AB11F.0.1	AB11		Borax Lake	ALV	42.33471	-118.60297	2020.08.11	2020	6.645185185	80.9	2.07	80_100	mat	Illumina NextSeq2000	SRR32625383	SAMN47273199	916025	380961	0.09816
