sample_id	total_hit_rate
AY01.2.5	0.089285
AY01.2.6	0.088745
AY01.2.7	0.09777
AY01.2.8	0.08428
AY01.3.1	0.054295
AY01.3.2	0.068855
AY01.3.3	0.07695
AY01.3.4	0.080625
AY01.3.5	0.07985
AY01.3.6	0.086905
AY01.3.8	0.0348
AY02.0.1	0.204185
AY02.0.2	0.08026
AY02.0.3	0.13318
AY02.0.4	0.15097
AY02.0.5	0.187115
AY02.0.6	0.15451
AY02.1.1	0.13163
AY02.1.2	0.128045
AY02.1.3	0.0652
AY02.1.4	0.148625
AY02.2.1	0.136735
AY02.2.2	0.163205
AY02.2.3	0.10504
AY02.2.4	0.08998
AY02.2.5	0.14248
AY02.2.6	0.04977
AY02.3.1	0.14742
AY02.3.2	0.12062
AY02.3.3	0.144255
AY02.3.4	0.13332
AY02.3.5	0.122615
AY02.3.6	0.15291
AY03.0.5	0.08605
AY03.0.6	0.201355
AY03.0.7	0.08249
AY03.0.8	0.07126
AY03.1.3	0.078725
AY03.1.4	0.079825
AY03.1.5	0.098045
AY03.1.6	0.091845
AY03.1.7	0.069925
AY03.1.8	0.068315
AY03.1.9	0.062405
AY03.2.10	0.083415
AY03.2.1	0.2003
AY03.2.2	0.365335
AY03.2.4	0.153255
AY03.2.5	0.110385
AY03.2.6	0.113705
AY03.2.7	0.098535
AY03.2.8	0.206675
AY03.2.9	0.08116
AY03.3.10	0.079615
AY03.3.2	0.07596
AY03.3.3	0.10134
AY03.3.4	0.079885
AY03.3.5	0.074915
AY03.3.6	0.323605
AY03.3.7	0.07081
AY03.3.8	0.07964
AY03.3.9	0.119505
AY04.0.2	0.073835
AY04.0.3	0.067175
AY04.0.4	0.06755
AY04.0.5	0.1105
AY04.0.6	0.19586
AY04.0.8	0.125305
AY04.0.9	0.132765
AY04.1.1	0.11773
AY04.1.2	0.13222
AY04.1.3	0.08384
AY04.1.4	0.085915
AY04.1.5	0.065075
AY04.1.6	0.109595
AY04.1.7	0.12546
AY04.2.1	0.135755
AY04.2.2	0.120105
AY04.2.3	0.095285
AY04.2.4	0.061615
AY04.2.5	0.10705
AY04.2.6	0.116775
AY04.2.7	0.116075
AY04.2.8	0.120105
AY04.2.9	0.118605
AY04.3.1	0.10065
AY04.3.2	0.09844
AY04.3.3	0.08335
AY04.3.4	0.087195
AY04.3.5	0.081775
AY04.3.6	0.089385
AY04.3.7	0.08096
AY04.3.8	0.095625
AY05.0.1	0.063565
AY05.0.2	0.071705
AY05.0.3	0.08479
AY05.0.4	0.0665
AY05.0.5	0.139865
AY05.2.1	0.13087
AY05.2.2	0.12156
AY05.2.3	0.07904
AY05.2.4	0.08744
AY05.2.5	0.09858
AY05.3.1	0.08077
AY05.3.2	0.071955
AY05.3.3	0.13644
AY05.3.4	0.08782
AY06.0.5	0.069195
AY06.0.6	0.068035
AY06.1.1	0.260655
AY06.1.4	0.076045
AY06.1.5	0.066915
AY06.1.6	0.17234
AY06.2.1	0.29548
AY06.2.2	0.090405
AY06.2.5	0.07033
AY06.2.6	0.24631
AY06.2.7	0.06952
AY06.3.1	0.325585
AY06.3.2	0.105555
AY06.3.3	0.06154
AY06.3.4	0.08278
AY06.3.5	0.0566
AY06.3.6	0.10211
AY06.3.7	0.0633
AY07.0.1	0.089795
AY07.0.2	0.090235
AY07.0.3	0.08132
AY07.0.4	0.10707
AY07.0.5	0.1181
AY07.0.6	0.094335
AY07.0.7	0.113445
AY07.0.8	0.113285
AY07.1.1	0.12069
AY07.1.2	0.11541
AY07.1.3	0.094775
AY07.1.4	0.104445
AY07.1.5	0.147865
AY07.1.6	0.09806
AY07.2.1	0.11634
AY07.2.2	0.105015
AY07.2.3	0.13803
AY07.2.4	0.142025
AY07.2.5	0.08454
AY07.2.6	0.07617
AY07.2.7	0.157045
AY07.2.8	0.10589
AY07.3.1	0.12072
AY07.3.2	0.108355
AY07.3.3	0.13603
AY07.3.4	0.12432
AY07.3.5	0.095945
AY07.3.6	0.09288
AY07.3.7	0.13479
AY07.3.8	0.09878
AY08.0.3	0.076445
AY08.0.4	0.085075
AY08.0.5	0.070545
AY08.0.6	0.08963
AY08.0.8	0.08676
AY08.1.2	0.120145
AY08.1.3	0.087765
AY08.1.4	0.087185
AY08.1.5	0.08685
AY08.1.6	0.112
AY08.2.1	0.129725
AY08.2.2	0.10131
AY08.2.3	0.078885
AY08.2.4	0.277035
AY08.2.5	0.077095
AY08.2.6	0.10192
AY08.2.7	0.11781
AY08.3.1	0.138715
AY08.3.2	0.093205
AY08.3.3	0.07531
AY08.3.4	0.08112
AY08.3.5	0.07546
AY08.3.6	0.111435
AY08.3.7	0.092565
AY10.3.1	0.597195
AY11.0.1	0.518065
AY11.1.2	0.447895
AY11.1.3	0.1711
AY11.1.5	0.107205
AY11.1.6	0.03393
AY11.2.1	0.35668
AY11.2.2	0.375925
AY11.2.3	0.41211
AY11.2.5	0.24826
AY11.3.1	0.46593
AY11.3.2	0.3221
AY11.3.3	0.39571
AY11.3.4	0.11491
AY11.3.5	0.29994
AY12.1.2	0.0977
AY12.1.3	0.102405
LB01.3.1	0.11444
LB02.3.1	0.272255
LB04.3.1	0.09597
LB07.3.1	0.09446
LC02.3.1	0.18536
LC04.3.1	0.20073
LC05.3.1	0.080205
LD01.3.1	0.182575
LD01.3.2	0.13292
LE01.3.1	0.192715
LE01.3.2	0.056975
LE01.3.3	0.169705
LH02.3.1	0.16272
LH02.3.2	0.1138
LH03.3.1	0.14991
LH03.3.2	0.12147
LH03.3.3	0.094995
LP01.3.1	0.03778
LP02.3.1	0.076765
LP03.3.1	0.058535
LP03.3.2	0.10367
LR01.3.1	0.205595
LR01.3.2	0.129405
LR01.3.3	0.119945
LS01.3.1	0.15638
LS01.3.2	0.108495
LS01.3.3	0.095075
LS02.3.1	0.083185
LS02.3.2	0.14455
LS02.3.3	0.08314
LT01.3.1	0.0817
LT01.3.2	0.77896
LT01.3.3	0.714175
LT12.3.1	0.230485
LT12.3.2	0.07505
LT12.3.3	0.123445
LT16.3.1	0.297675
LT16.3.2	0.136175
LT16.3.3	0.166465
LT16.3.4	0.1527
LU02.3.1	0.108345
LU02.3.2	0.137105
LU04.3.1	0.161115
LU04.3.2	0.14581
LU04.3.3	0.12084
LV02.3.1	0.13533
LV02.3.2	0.13146
LV02.3.3	0.19605
LV02.3.4	0.141405
