contigIdx	contigIdxMate	AvgCoverage
239	3271	0.00419973
239	3335	0.00460118
239	3570	0.00463206
239	4716	0.00463206
239	5492	0.00438502
239	5593	0.00463206
239	9086	0.00463206
239	10071	0.175061
239	12092	0.00463206
239	12834	0.00910972
239	13343	0.00463206
239	17076	0.00453942
240	240	3.88027
240	8897	0.200669
241	241	2.33888
241	13162	0.29383
242	242	4.72955
242	951	0.110538
242	1080	0.110538
242	3598	0.331614
242	3727	0.221076
242	4101	0.110538
242	4132	0.324245
242	4500	0.108327
242	6134	0.108327
242	6445	0.10759
242	7219	0.867354
242	7712	0.108327
242	8180	0.434783
242	10698	0.109801
242	11387	0.110538
242	12163	0.440678
242	13686	0.10759
242	14905	0.108327
243	243	2.04701
244	244	2.06706
245	245	2.48262
246	246	7.3464
246	6000	0.0609137
246	16670	0.0609137
247	247	3.12018
248	248	4.4877
249	249	2.72689
249	17430	0.105857
250	250	2.87729
251	251	1.91935
252	252	2.67004
253	253	7.63805
253	3767	0.212778
253	9736	0.25271
253	13182	0.0427838
254	254	6.36075
254	2541	0.0563855
254	13816	0.0472951
255	255	2.16089
256	256	2.98506
256	2416	0.39968
256	9146	0.239061
257	257	3.81812
257	4221	0.204011
258	258	2.99912
259	259	2.48699
260	260	4.16463
261	261	11.2386
261	367	0.00868943
261	548	0.00219061
261	771	0.00219061
261	1384	0.00195695
261	2071	0.00219061
261	2109	0.00219061
261	2671	0.0021468
261	3057	0.00219061
261	3271	0.0151444
261	4595	0.00870403
261	6445	0.00219061
261	6536	0.0021468
261	7785	0.0021468
261	8913	0.00219061
261	11924	0.0021614
261	12464	0.00219061
261	12667	0.00198616
261	14429	0.00210299
262	262	2.89023
263	263	3.66479
264	264	3.81637
264	16957	0.565176
265	265	2.85109
265	8016	0.0997268
265	14804	0.0997268
266	266	3.69619
266	6563	0.189407
266	18168	0.187288
267	267	5.1928
267	7651	0.054444
267	9749	0.0727537
268	268	9.36848
268	4252	0.0606061
268	5538	0.121212
268	11032	0.121212
269	269	3.57057
269	14048	0.23531
270	270	2.51318
270	14271	0.423729
271	271	2.85902
271	14063	0.119076
272	272	3.1413
272	9575	0.0858124
