LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT
LKT__s__Oscillibacter_valericigenes	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Oscillospiraceae	g__Oscillibacter	s__Oscillibacter_valericigenes	LKT__s__Oscillibacter_valericigenes
LKT__s__Angelakisella_massiliensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Angelakisella	s__Angelakisella_massiliensis	LKT__s__Angelakisella_massiliensis
LKT__g__Acidaminococcus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Unclassified	LKT__g__Acidaminococcus
LKT__s__Alistipes_timonensis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes_timonensis	LKT__s__Alistipes_timonensis
LKT__o__Burkholderiales	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Unclassified	g__Unclassified	s__Unclassified	LKT__o__Burkholderiales
LKT__s__Bilophila_Unclassified	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila_Unclassified_4_1_30	LKT__s__Bilophila_Unclassified
LKT__s__Clostridia_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Missing	f__Missing	g__Missing	s__Clostridia_bacterium	LKT__s__Clostridia_bacterium
LKT__s__Eubacterium_ventriosum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__Eubacterium_ventriosum	LKT__s__Eubacterium_ventriosum
LKT__s__Clostridium_botulinum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium_botulinum	LKT__s__Clostridium_botulinum
LKT__s__Duodenibacillus_massiliensis	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Duodenibacillus	s__Duodenibacillus_massiliensis	LKT__s__Duodenibacillus_massiliensis
LKT__s__Neglecta_timonensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Neglecta	s__Neglecta_timonensis	LKT__s__Neglecta_timonensis
LKT__s__Clostridium_disporicum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium_disporicum	LKT__s__Clostridium_disporicum
LKT__g__Roseburia	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Unclassified	LKT__g__Roseburia
