Model	HorizonDays	FalsePositiveRate	TruePositiveRate	AUC
Clinical + Faecalibacterium	365	0.107142857142857	0.254181623768426	0.676617003633348
Clinical + Faecalibacterium	365	0.107142857142857	0.274039563125334	0.676617003633348
Clinical + Faecalibacterium	365	0.125	0.274039563125334	0.676617003633348
Clinical + Faecalibacterium	365	0.142857142857143	0.274039563125334	0.676617003633348
Clinical + Faecalibacterium	365	0.160714285714286	0.274039563125334	0.676617003633348
Clinical + Faecalibacterium	365	0.178571428571429	0.274039563125334	0.676617003633348
Clinical + Faecalibacterium	365	0.178571428571429	0.293591995722905	0.676617003633348
Clinical + Faecalibacterium	365	0.196428571428571	0.293591995722905	0.676617003633348
Clinical + Faecalibacterium	365	0.196428571428571	0.313144428320477	0.676617003633348
Clinical + Faecalibacterium	365	0.214285714285714	0.313144428320477	0.676617003633348
Clinical + Faecalibacterium	365	0.214285714285714	0.332696860918048	0.676617003633348
Clinical + Faecalibacterium	365	0.214285714285714	0.352249293515619	0.676617003633348
Clinical + Faecalibacterium	365	0.214285714285714	0.37180172611319	0.676617003633348
Clinical + Faecalibacterium	365	0.214285714285714	0.391354158710761	0.676617003633348
Clinical + Faecalibacterium	365	0.232142857142857	0.391354158710761	0.676617003633348
Clinical + Faecalibacterium	365	0.232142857142857	0.410906591308333	0.676617003633348
Clinical + Faecalibacterium	365	0.232142857142857	0.430459023905904	0.676617003633348
Clinical + Faecalibacterium	365	0.25	0.430459023905904	0.676617003633348
Clinical + Faecalibacterium	365	0.25	0.450011456503475	0.676617003633348
Clinical + Faecalibacterium	365	0.25	0.469563889101046	0.676617003633348
Clinical + Faecalibacterium	365	0.267857142857143	0.469563889101046	0.676617003633348
Clinical + Faecalibacterium	365	0.267857142857143	0.489116321698618	0.676617003633348
Clinical + Faecalibacterium	365	0.267857142857143	0.508668754296189	0.676617003633348
Clinical + Faecalibacterium	365	0.267857142857143	0.52822118689376	0.676617003633348
Clinical + Faecalibacterium	365	0.285714285714286	0.52822118689376	0.676617003633348
Clinical + Faecalibacterium	365	0.285714285714286	0.547773619491331	0.676617003633348
Clinical + Faecalibacterium	365	0.285714285714286	0.567962524504188	0.676617003633348
Clinical + Faecalibacterium	365	0.285714285714286	0.587514957101759	0.676617003633348
Clinical + Faecalibacterium	365	0.303571428571429	0.587514957101759	0.676617003633348
Clinical + Faecalibacterium	365	0.303571428571429	0.60706738969933	0.676617003633348
Clinical + Faecalibacterium	365	0.303571428571429	0.626619822296902	0.676617003633348
Clinical + Faecalibacterium	365	0.303571428571429	0.646172254894473	0.676617003633348
Clinical + Faecalibacterium	365	0.321428571428571	0.646172254894473	0.676617003633348
Clinical + Faecalibacterium	365	0.321428571428571	0.665724687492044	0.676617003633348
Clinical + Faecalibacterium	365	0.321428571428571	0.685277120089615	0.676617003633348
Clinical + Faecalibacterium	365	0.339285714285714	0.685277120089615	0.676617003633348
Clinical + Faecalibacterium	365	0.357142857142857	0.685277120089615	0.676617003633348
Clinical + Faecalibacterium	365	0.375	0.685277120089615	0.676617003633348
Clinical + Faecalibacterium	365	0.392857142857143	0.685277120089615	0.676617003633348
Clinical + Faecalibacterium	365	0.410714285714286	0.685277120089615	0.676617003633348
Clinical + Faecalibacterium	365	0.410714285714286	0.704829552687187	0.676617003633348
Clinical + Faecalibacterium	365	0.428571428571428	0.704829552687187	0.676617003633348
Clinical + Faecalibacterium	365	0.428571428571428	0.724687492044095	0.676617003633348
Clinical + Faecalibacterium	365	0.428571428571428	0.744239924641666	0.676617003633348
Clinical + Faecalibacterium	365	0.446428571428571	0.744239924641666	0.676617003633348
Clinical + Faecalibacterium	365	0.446428571428571	0.763792357239237	0.676617003633348
Clinical + Faecalibacterium	365	0.446428571428571	0.783344789836809	0.676617003633348
Clinical + Faecalibacterium	365	0.446428571428571	0.783344789836809	0.676617003633348
Clinical + Faecalibacterium	365	0.464285714285714	0.783344789836809	0.676617003633348
Clinical + Faecalibacterium	365	0.482142857142857	0.783344789836809	0.676617003633348
Clinical + Faecalibacterium	365	0.482142857142857	0.80289722243438	0.676617003633348
Clinical + Faecalibacterium	365	0.5	0.80289722243438	0.676617003633348
Clinical + Faecalibacterium	365	0.517857142857143	0.80289722243438	0.676617003633348
Clinical + Faecalibacterium	365	0.535714285714286	0.80289722243438	0.676617003633348
Clinical + Faecalibacterium	365	0.535714285714286	0.823086127447237	0.676617003633348
Clinical + Faecalibacterium	365	0.553571428571428	0.823086127447237	0.676617003633348
Clinical + Faecalibacterium	365	0.571428571428571	0.823086127447237	0.676617003633348
Clinical + Faecalibacterium	365	0.589285714285714	0.823086127447237	0.676617003633348
Clinical + Faecalibacterium	365	0.589285714285714	0.823086127447237	0.676617003633348
Clinical + Faecalibacterium	365	0.589285714285714	0.842638560044808	0.676617003633348
Clinical + Faecalibacterium	365	0.607142857142857	0.842638560044808	0.676617003633348
Clinical + Faecalibacterium	365	0.607142857142857	0.862190992642379	0.676617003633348
Clinical + Faecalibacterium	365	0.625	0.862190992642379	0.676617003633348
Clinical + Faecalibacterium	365	0.625	0.88174342523995	0.676617003633348
Clinical + Faecalibacterium	365	0.642857142857143	0.88174342523995	0.676617003633348
Clinical + Faecalibacterium	365	0.642857142857143	0.88174342523995	0.676617003633348
Clinical + Faecalibacterium	365	0.660714285714286	0.88174342523995	0.676617003633348
Clinical + Faecalibacterium	365	0.678571428571428	0.88174342523995	0.676617003633348
Clinical + Faecalibacterium	365	0.678571428571428	0.901295857837521	0.676617003633348
Clinical + Faecalibacterium	365	0.696428571428571	0.901295857837521	0.676617003633348
Clinical + Faecalibacterium	365	0.714285714285714	0.901295857837521	0.676617003633348
Clinical + Faecalibacterium	365	0.732142857142857	0.901295857837521	0.676617003633348
Clinical + Faecalibacterium	365	0.75	0.901295857837521	0.676617003633348
