FeatureSpace	FeatureID	Feature	Label	AbundanceThreshold	RequiredPrevalence	ObservedThresholdPrevalence	ObservedDetectionPrevalence	MaxRelativeAbundance	PrimaryUniverse	AbundanceEstimable	PrevalenceEstimable	ControlPresent	ControlAbsent	CRCPresent	CRCAbsent
Species	SP0165	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	Bifidobacterium pseudocatenulatum	0.0001	0.1	0.227272727272727	0.372727272727273	0.1291589	TRUE	TRUE	TRUE	26	33	15	36
Species	SP0166	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	Cutibacterium acnes	0.0001	0.1	0.0181818181818182	0.0272727272727273	0.0001487	FALSE	FALSE	FALSE	3	56	0	51
Species	SP0167	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum	Eubacterium limosum	0.0001	0.1	0.0909090909090909	0.163636363636364	0.0073414	FALSE	FALSE	FALSE	9	50	9	42
Species	SP0168	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	Haemophilus sp HMSC71H05	0.0001	0.1	0.109090909090909	0.209090909090909	0.0021035	TRUE	TRUE	TRUE	13	46	10	41
Species	SP0169	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum	Clostridium innocuum	0.0001	0.1	0.345454545454545	0.527272727272727	0.0283667	TRUE	TRUE	TRUE	30	29	28	23
Species	SP0170	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri	Streptococcus milleri	0.0001	0.1	0.0636363636363636	0.181818181818182	0.0005823	FALSE	FALSE	FALSE	9	50	11	40
Species	SP0171	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella_dolichum	Absiella dolichum	0.0001	0.1	0.0636363636363636	0.0818181818181818	0.0045966	FALSE	FALSE	FALSE	6	53	3	48
Species	SP0172	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	Allisonella histaminiformans	0.0001	0.1	0.118181818181818	0.209090909090909	0.0010608	TRUE	TRUE	TRUE	13	46	10	41
Species	SP0173	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium	Veillonella infantium	0.0001	0.1	0.0727272727272727	0.2	0.0005093	FALSE	TRUE	TRUE	12	47	10	41
Species	SP0174	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_dolichum_CAG_375	Eubacterium dolichum CAG 375	0.0001	0.1	0.0636363636363636	0.1	0.0052425	FALSE	FALSE	FALSE	8	51	3	48
Species	SP0175	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	Actinomyces sp S6 Spd3	0.0001	0.1	0.0272727272727273	0.154545454545455	0.0003265	FALSE	FALSE	FALSE	9	50	8	43
Species	SP0176	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	Veillonella dispar	0.0001	0.1	0.145454545454545	0.263636363636364	0.0028373	TRUE	TRUE	TRUE	17	42	12	39
Species	SP0177	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	Anaerotruncus colihominis	0.0001	0.1	0.245454545454545	0.409090909090909	0.0022959	TRUE	TRUE	TRUE	23	36	22	29
Species	SP0178	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	Collinsella intestinalis	0.0001	0.1	0.218181818181818	0.718181818181818	0.0148204	TRUE	TRUE	TRUE	39	20	40	11
Species	SP0179	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	Actinomyces oris	0.0001	0.1	0.0727272727272727	0.318181818181818	0.0006402	FALSE	TRUE	TRUE	24	35	11	40
Species	SP0180	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12	Streptococcus sp A12	0.0001	0.1	0.109090909090909	0.327272727272727	0.0003055	TRUE	FALSE	FALSE	27	32	9	42
Species	SP0181	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_299	Clostridium sp CAG 299	0.0001	0.1	0.0818181818181818	0.1	0.0064325	FALSE	FALSE	FALSE	6	53	5	46
Species	SP0182	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme	Clostridium spiroforme	0.0001	0.1	0.190909090909091	0.254545454545455	0.0089827	TRUE	FALSE	FALSE	19	40	9	42
Species	SP0183	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	Streptococcus mitis	0.0001	0.1	0.218181818181818	0.5	0.0017694	TRUE	TRUE	TRUE	34	25	21	30
