hotspring	ProcessID	Element	Process	RecoveredMAGCarrierFraction	RecruitmentRate	Samples
AB04	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.101915	4
AB04	three_hp	Carbon	3-hydroxypropionate bicycle	0.016425507013507014	0.101915	4
AB04	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.1414801602943206	0.101915	4
AB07	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.09461249999999999	6
AB07	cbb	Carbon	Calvin-Benson-Bassham fixation	0.09847244965888846	0.09461249999999999	6
AB07	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.009071990094092389	0.09461249999999999	6
AB07	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.13065504176913978	0.09461249999999999	6
AB07	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.029659965540306202	0.09461249999999999	6
AB07	hao	Nitrogen	Hydroxylamine oxidation	0.09870265325695979	0.09461249999999999	6
AB07	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.09461249999999999	6
AB07	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.20842451193760664	0.09461249999999999	6
AB07	n_fix	Nitrogen	Nitrogen fixation	0.07578346098368431	0.09461249999999999	6
AB07	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.013185993374506627	0.09461249999999999	6
AB07	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.013598511364022728	0.09461249999999999	6
AB07	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.13598616933860938	0.09461249999999999	6
AB07	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.013271473726105097	0.09461249999999999	6
AB07	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.09461249999999999	6
AB07	rtca	Carbon	Reverse TCA fixation	0.0027004940185158246	0.09461249999999999	6
AB07	sox	Sulfur	Thiosulfate oxidation by Sox	0.010974978854084584	0.09461249999999999	6
AB07	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.029668472964291422	0.09461249999999999	6
AB07	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.09461249999999999	6
AB07	three_hp	Carbon	3-hydroxypropionate bicycle	0.06076146528176386	0.09461249999999999	6
AB07	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.04336654058708117	0.09461249999999999	6
AB08	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.100305	10
AB08	cbb	Carbon	Calvin-Benson-Bassham fixation	0.1232572502969988	0.100305	10
AB08	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.002413013093571639	0.100305	10
AB08	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.10959006163975343	0.100305	10
AB08	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.01688005182775914	0.100305	10
AB08	hao	Nitrogen	Hydroxylamine oxidation	0.0683621020088447	0.100305	10
AB08	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.100305	10
AB08	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.20289251414261772	0.100305	10
AB08	n_fix	Nitrogen	Nitrogen fixation	0.08041805766942331	0.100305	10
AB08	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.023995537403017318	0.100305	10
AB08	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.019677460528157893	0.100305	10
AB08	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.12186543361066388	0.100305	10
AB08	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.011349500000000002	0.100305	10
AB08	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.100305	10
AB08	rtca	Carbon	Reverse TCA fixation	0.005873950175498245	0.100305	10
AB08	sox	Sulfur	Thiosulfate oxidation by Sox	0.013723505541280013	0.100305	10
AB08	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.02191598892301108	0.100305	10
AB08	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.100305	10
AB08	three_hp	Carbon	3-hydroxypropionate bicycle	0.06634352717796577	0.100305	10
AB08	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.06813886541453834	0.100305	10
AB09	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.082555	5
AB09	cbb	Carbon	Calvin-Benson-Bassham fixation	0.1275378724621275	0.082555	5
AB09	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0005649943500564994	0.082555	5
