temperature_regime	ProcessID	Element	Process	RawMedianIndex	MedianIndex	CompleteGateFraction	Q25	Q75	Samples	Springs
80_100	cbb	Carbon	Calvin-Benson-Bassham fixation	1.4532629554999998e-05	1.4532629554999998e-05	0.7142857142857143	0.0	6.00169848975e-05	35	13
80_100	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.0	0.34285714285714286	0.0	4.824219021366667e-06	35	13
80_100	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	2.857597102e-05	2.2453043340000002e-05	0.6857142857142857	0.0	4.943756009475e-05	35	13
80_100	dsr	Sulfur	DsrAB sulfite/sulfide axis	1.228627322e-05	1.19466935505e-05	0.8857142857142857	4.30751736e-06	3.4551263365e-05	35	13
80_100	hao	Nitrogen	Hydroxylamine oxidation	1.976035634e-05	1.976035634e-05	0.9142857142857143	9.6482587905e-06	3.9616310135000006e-05	35	13
80_100	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.02857142857142857	0.0	0.0	35	13
80_100	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	3.415214217e-05	3.415214217e-05	0.9428571428571428	5.3626689895000006e-06	0.0001062966973	35	13
80_100	n_fix	Nitrogen	Nitrogen fixation	6.878837576666666e-08	0.0	0.45714285714285713	0.0	4.500515080183333e-06	35	13
80_100	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	4.8365318105e-06	4.8365318105e-06	0.6285714285714286	0.0	1.734930906e-05	35	13
80_100	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	4.256854483076667e-06	4.256854483076667e-06	0.6285714285714286	0.0	2.1901591078749997e-05	35	13
80_100	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	1.3848241437000001e-05	1.3848241437000001e-05	0.7714285714285715	2.3025262989999998e-07	6.7489430557695e-05	35	13
80_100	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	1.2770889494500001e-05	1.67358298805e-06	0.5714285714285714	0.0	1.36027560695e-05	35	13
80_100	phs	Sulfur	Thiosulfate/polysulfide reduction	8.880476293333334e-06	0.0	0.0	0.0	0.0	35	13
80_100	rtca	Carbon	Reverse TCA fixation	5.27277481e-06	0.0	0.4857142857142857	0.0	1.53793832775e-05	35	13
80_100	sox	Sulfur	Thiosulfate oxidation by Sox	2.5865253301999998e-05	2.5865253301999998e-05	0.8	7.266399468599999e-06	3.8801126302e-05	35	13
80_100	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	8.38384858594e-05	7.844394642025e-05	0.8285714285714286	4.37452494545375e-05	0.00010319821458525	35	13
80_100	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.05714285714285714	0.0	0.0	35	13
80_100	three_hp	Carbon	3-hydroxypropionate bicycle	2.008405906666667e-07	0.0	0.37142857142857144	0.0	1.1138517345133334e-05	35	13
80_100	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	1.5514855436e-06	0.0	0.4857142857142857	0.0	1.18350954571e-05	35	13
below_30	anammox	Nitrogen	Anaerobic ammonium oxidation	7.138459588333334e-07	0.0	0.0	0.0	0.0	26	9
below_30	cbb	Carbon	Calvin-Benson-Bassham fixation	5.849501472e-05	5.849501472e-05	1.0	3.5993057101250004e-05	9.426995888749999e-05	26	9
below_30	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.0	0.15384615384615385	0.0	0.0	26	9
below_30	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	1.5241243702499999e-05	1.5241243702499999e-05	0.8846153846153846	1.0513914001e-05	2.84180718885e-05	26	9
below_30	dsr	Sulfur	DsrAB sulfite/sulfide axis	2.0821848014999997e-06	2.0821848014999997e-06	0.6538461538461539	0.0	5.233336240625e-06	26	9
below_30	hao	Nitrogen	Hydroxylamine oxidation	3.7600230465e-07	3.7600230465e-07	0.6153846153846154	0.0	3.38958803475e-06	26	9
below_30	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	0.0	0.0	26	9
below_30	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	3.2450092410000002e-06	3.2450092410000002e-06	0.8461538461538461	9.1075055625e-07	8.922415085e-06	26	9
below_30	n_fix	Nitrogen	Nitrogen fixation	2.8900059068333335e-05	2.8900059068333335e-05	0.9615384615384616	1.6579754859416665e-05	5.161092675e-05	26	9
below_30	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	1.081070865e-06	0.0	0.46153846153846156	0.0	2.669415673875e-06	26	9
below_30	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	1.7747499429666666e-06	0.0	0.4230769230769231	0.0	5.073743433808333e-06	26	9
below_30	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	2.1415378765e-06	2.1415378765e-06	0.6538461538461539	0.0	8.61265088375e-06	26	9
below_30	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	1.1263038099325001e-06	0.0	0.4230769230769231	0.0	3.1224628559999997e-06	26	9
below_30	phs	Sulfur	Thiosulfate/polysulfide reduction	1.6589549695e-06	0.0	0.0	0.0	0.0	26	9
below_30	rtca	Carbon	Reverse TCA fixation	6.8572014935e-08	0.0	0.0	0.0	0.0	26	9
below_30	sox	Sulfur	Thiosulfate oxidation by Sox	1.5038275929300002e-05	1.5038275929300002e-05	0.9615384615384616	1.1646794281000002e-05	2.7930947890150003e-05	26	9
below_30	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	7.5079538859125e-05	6.159479638925e-05	0.6153846153846154	0.0	8.2711295595125e-05	26	9
below_30	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0	0.0	0.0	0.0	26	9
below_30	three_hp	Carbon	3-hydroxypropionate bicycle	1.3550189622408334e-05	0.0	0.46153846153846156	0.0	1.3579919150375e-05	26	9
below_30	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	2.5800521486e-07	0.0	0.34615384615384615	0.0	1.934105437931e-06	26	9
