Category	CheckID	Status	Detail
reference	standard16-abundance-total	PASS	100.01215654459676
reference	standard16-reference-mapping-present	PASS	65
database	pluspf8-archive-bytes	PASS	5933654083
database	pluspf8-archive-md5	PASS	79a153b99f045bc2ae95e6d57c17a02d
database	pluspf8-internal-md5	PASS	17
reference	pluspf8-crosswalk-rows	PASS	Counter({'Exact expected assembly': 62, 'No same-species reference': 6, 'Alternate same-species reference': 3})
reference	pluspf8-three-status-total	PASS	{'Exact expected assembly': 62, 'No same-species reference': 6, 'Alternate same-species reference': 3}
reference	pluspf8-abundance-total	PASS	100.01215654459676
reference	pluspf8-reference-mapping-present	PASS	65
control	human-ancestor-lineage	PASS	31
branch	standard8-mock-c000-h2-input-conservation	PASS	86373+13618
branch	standard8-mock-c000-h2-output-rows	PASS	99991
branch	standard8-mock-c000-h2-output-report-parity	PASS	86373;13618
branch	standard8-mock-c000-h2-paired-structure	PASS	99991;99991
branch	mock-output-pair-hash	PASS	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
branch	standard8-mock-c000-h2-bracken-rank	PASS	65
branch	standard8-mock-c000-h2-bracken-outcome	PASS	estimated
branch	standard8-human-c000-h2-input-conservation	PASS	15356+4644
branch	standard8-human-c000-h2-output-rows	PASS	20000
branch	standard8-human-c000-h2-output-report-parity	PASS	15356;4644
branch	standard8-human-c000-h2-paired-structure	PASS	20000;20000
branch	human-output-pair-hash	PASS	f6006da01154f735c5d80dce94be41711c58e33fd1c0b4290c7fbe734a8b9a18
branch	standard8-human-c000-h2-bracken-rank	PASS	2
branch	standard8-human-c000-h2-bracken-outcome	PASS	estimated
control	standard8-human-c000-h2-human-compatible-partition	PASS	6296+5723+3337
branch	standard8-mock-c005-h2-input-conservation	PASS	59300+40691
branch	standard8-mock-c005-h2-output-rows	PASS	99991
branch	standard8-mock-c005-h2-output-report-parity	PASS	59300;40691
branch	standard8-mock-c005-h2-paired-structure	PASS	99991;99991
branch	standard8-mock-c005-h2-bracken-rank	PASS	51
