Term	GenesWithTerm	FractionalGeneEquivalent	MOCK1FractionalRawReads	MOCK2FractionalRawReads
ko:K07003	29	27.833333333333336	2454.8333333333335	2504.8333333333335
ko:K12960	29	25.5	1143.0	1085.0
ko:K17758	29	15.0	882.0	877.0
ko:K17759	29	15.0	829.0	832.0
ko:K00013	28	27.0	1342.0	1382.0
ko:K00145	28	28.0	1148.0	1259.0
ko:K00278	28	26.5	985.5	907.5
ko:K00604	28	26.7	858.1	876.7
ko:K00946	28	28.0	752.0	682.0
ko:K01588	28	28.0	621.0	664.0
ko:K01662	28	28.0	1686.0	1513.0
ko:K01719	28	27.0	539.5	545.0
ko:K01735	28	24.5	551.5	539.5
ko:K01739	28	18.866666666666667	507.4	536.4333333333334
ko:K01916	28	25.0	933.5	877.0
ko:K01924	28	25.833333333333336	1410.8333333333333	1474.1666666666665
ko:K02437	28	28.0	292.0	274.0
ko:K02453	28	27.0	884.0	879.5
ko:K02501	28	28.0	646.0	623.0
ko:K02669	28	27.5	1124.0	1072.5
ko:K02823	28	24.333333333333332	677.6666666666667	657.5
ko:K02867	28	28.0	494.0	499.0
ko:K02874	28	28.0	361.0	350.0
ko:K02890	28	28.0	492.0	479.0
ko:K02904	28	28.0	145.0	163.0
ko:K03040	28	28.0	823.0	880.0
ko:K03116	28	23.0	102.5	93.5
ko:K03310	28	28.0	570.0	562.0
ko:K03321	28	27.5	833.5	853.0
ko:K03412	28	24.166666666666664	1266.1666666666665	1222.0
ko:K03581	28	26.666666666666668	1391.6666666666665	1511.0
ko:K03596	28	28.0	1593.0	1581.0
ko:K03733	28	23.0	663.5	655.5
ko:K04749	28	22.416666666666668	345.9166666666667	331.5833333333333
ko:K05366	28	28.0	1847.0	1737.0
ko:K05837	28	27.0	931.5	840.5
ko:K06076	28	28.0	551.0	548.0
ko:K06153	28	28.0	839.0	785.0
ko:K06920	28	28.0	587.0	570.0
ko:K07013	28	25.5	741.0	699.5
ko:K07076	28	26.5	663.5	608.5
ko:K09815	28	24.666666666666664	737.3333333333334	784.3333333333334
ko:K10026	28	27.5	546.5	598.0
ko:K10726	28	26.833333333333332	2553.166666666667	2502.333333333333
ko:K13525	28	26.5	1420.5	1419.5
ko:K16089	28	24.5	995.0	997.0
ko:K00135	27	23.583333333333336	820.3333333333334	942.5833333333334
ko:K00147	27	27.0	1038.0	1030.0
ko:K00215	27	26.5	755.0	749.0
ko:K00240	27	23.5	379.0	465.5
ko:K00566	27	26.333333333333336	1007.0	1047.3333333333333
ko:K00605	27	27.0	805.0	855.0
ko:K00791	27	27.0	845.0	760.0
ko:K00969	27	25.0	514.5	532.5
ko:K01077	27	25.833333333333332	1173.3333333333335	1129.1666666666665
ko:K01251	27	27.0	1374.0	1463.0
ko:K01693	27	25.5	586.5	619.0
ko:K01698	27	27.0	868.0	858.0
ko:K01740	27	26.5	1298.0	1216.5
ko:K01754	27	26.333333333333332	841.0	836.0
ko:K01902	27	26.0	686.5	670.0
ko:K01928	27	23.0	1404.0	1532.5
ko:K01960	27	22.15	1010.1833333333333	1034.0833333333333
ko:K02006	27	23.666666666666664	669.3333333333334	786.75
ko:K02008	27	23.5	653.5	753.25
ko:K02010	27	19.916666666666664	505.0833333333333	462.3333333333333
ko:K02066	27	24.916666666666668	512.9166666666666	503.0833333333333
ko:K02112	27	27.0	1052.0	994.0
ko:K02232	27	26.0	1004.5	1008.0
ko:K02454	27	24.0	841.5	854.0
ko:K02652	27	24.0	1384.5	1429.0
ko:K02935	27	27.0	269.0	290.0
ko:K03118	27	27.0	515.0	430.0
ko:K03294	27	25.0	1123.5	1212.0
ko:K03307	27	25.0	724.0	774.0
ko:K03568	27	27.0	1655.0	1511.0
ko:K03572	27	27.0	1454.0	1539.0
ko:K03593	27	27.0	881.0	900.0
ko:K03639	27	27.0	835.0	841.0
ko:K03685	27	27.0	578.0	627.0
ko:K03768	27	21.333333333333332	385.1666666666667	360.6666666666667
ko:K04075	27	24.833333333333336	1056.0	1072.3333333333333
ko:K04077	27	27.0	1190.0	1243.0
ko:K04567	27	27.0	1348.0	1401.0
ko:K06941	27	27.0	1221.0	1305.0
ko:K07391	27	27.0	1294.0	1308.0
ko:K07456	27	27.0	2183.0	2117.0
ko:K09816	27	21.1	729.7	711.0
ko:K14652	27	26.5	1042.5	1090.0
ko:K17763	27	26.333333333333336	714.3333333333334	560.3333333333334
ko:K18682	27	26.5	1390.5	1457.0
ko:K21572	27	27.0	682.0	693.0
ko:K00075	26	26.0	862.0	788.0
ko:K00241	26	23.0	366.5	278.5
ko:K00528	26	21.166666666666668	647.0	594.1666666666667
ko:K00575	26	25.5	859.0	896.5
ko:K00602	26	26.0	1608.0	1564.0
ko:K00794	26	26.0	452.0	480.0
ko:K00796	26	23.583333333333336	844.5833333333333	859.1666666666666
ko:K00806	26	24.5	610.5	679.5
ko:K00974	26	20.333333333333332	1378.1666666666667	1483.3333333333333
ko:K01515	26	23.833333333333332	459.8333333333333	464.0
ko:K01609	26	25.0	796.0	744.0
ko:K01749	26	26.0	742.0	772.0
ko:K01996	26	25.0	537.5	495.0
ko:K02018	26	22.166666666666668	463.6666666666667	444.16666666666663
ko:K02111	26	26.0	1077.0	991.0
ko:K02115	26	26.0	767.0	792.0
ko:K02224	26	26.0	962.0	977.0
ko:K02233	26	26.0	623.0	514.0
ko:K02313	26	26.0	1375.0	1355.0
ko:K02563	26	26.0	951.0	1039.0
ko:K02946	26	26.0	273.0	252.0
ko:K03101	26	26.0	470.0	451.0
ko:K03154	26	25.5	138.5	130.0
ko:K03177	26	25.0	789.5	750.5
ko:K03281	26	25.333333333333332	1052.3333333333335	954.3333333333334
ko:K03403	26	26.0	1034.0	1090.0
ko:K03469	26	25.5	288.0	313.0
