OuterTestCohort	Lambda	MeanInnerAUROC	SEInnerAUROC	Selected
DE	0.398107170553497	0.5	0	FALSE
DE	0.316227766016838	0.5	0	FALSE
DE	0.251188643150958	0.5	0	FALSE
DE	0.199526231496888	0.540883470613512	0.0209344500162735	FALSE
DE	0.158489319246111	0.713547256059344	0.0362984159651598	FALSE
DE	0.125892541179417	0.720392075104959	0.0382062227905746	FALSE
DE	0.1	0.720167857807952	0.0372582745596673	FALSE
DE	0.0794328234724282	0.751138842265641	0.0297528434814223	FALSE
DE	0.0630957344480193	0.769755393767672	0.0235616994306731	FALSE
DE	0.0501187233627272	0.778268213551043	0.0195585927606301	FALSE
DE	0.0398107170553497	0.787498074570146	0.0145400616274418	FALSE
DE	0.0316227766016838	0.792723701001029	0.0136123104736631	FALSE
DE	0.0251188643150958	0.789565684420331	0.0135290372052961	FALSE
DE	0.0199526231496888	0.787156136374669	0.0134148763613397	FALSE
DE	0.0158489319246111	0.779546130670405	0.0142975413679364	FALSE
DE	0.0125892541179417	0.775125808764207	0.01485414398965	FALSE
DE	0.01	0.767783240779418	0.0138076988718288	FALSE
DE	0.00794328234724282	0.761847092766378	0.0128166723600464	FALSE
DE	0.00630957344480194	0.757944968168338	0.0111341466852674	FALSE
DE	0.00501187233627273	0.753873130009102	0.0108401534093732	FALSE
DE	0.00398107170553497	0.747900121825704	0.0101902209324102	FALSE
DE	0.00316227766016838	0.745152911312506	0.0101818910671359	FALSE
DE	0.00251188643150958	0.739080082754561	0.0105429700398903	FALSE
DE	0.00199526231496888	0.733371199221391	0.0115357736013122	FALSE
DE	0.00158489319246111	0.726381099025592	0.0120602061712381	FALSE
DE	0.00125892541179417	0.719542158348745	0.0129445863807848	FALSE
DE	0.001	0.713301224162223	0.0141467505972684	FALSE
DE	0.000794328234724282	0.707718153558567	0.0148871907228077	FALSE
DE	0.000630957344480194	0.703448745876944	0.0158226374859228	FALSE
DE	0.000501187233627273	0.70108019355538	0.016575154942397	FALSE
DE	0.000398107170553497	0.699673558673365	0.0170108939062495	FALSE
DE	0.000316227766016838	0.697630081209822	0.0177463942038914	FALSE
DE	0.000251188643150958	0.696592850627767	0.0180775985305544	FALSE
DE	0.000199526231496888	0.695265453511869	0.0185654352456328	FALSE
DE	0.000158489319246111	0.695948364213145	0.0185808521325803	FALSE
DE	0.000125892541179417	0.695160600687426	0.0188634814724161	FALSE
DE	0.0001	0.693189577817276	0.0186427973062549	FALSE
FR	1	0.5	0	FALSE
FR	0.794328234724281	0.5	0	FALSE
FR	0.630957344480193	0.5	0	FALSE
FR	0.501187233627272	0.5	0	FALSE
FR	0.398107170553497	0.5	0	FALSE
FR	0.316227766016838	0.5	0	FALSE
FR	0.251188643150958	0.5	0	FALSE
FR	0.199526231496888	0.698892434654607	0.0322097751386398	FALSE
FR	0.158489319246111	0.734397561534535	0.0383657968841433	FALSE
FR	0.125892541179417	0.737819015146549	0.0390157137375655	FALSE
FR	0.1	0.73672303869365	0.0386290312937165	FALSE
FR	0.0794328234724282	0.748886696616668	0.039630167424256	FALSE
FR	0.0630957344480193	0.777831255883211	0.0300542853238029	FALSE
FR	0.0501187233627272	0.790993406062263	0.0228019235521468	FALSE
FR	0.0398107170553497	0.796857600089924	0.0177179239861685	FALSE
FR	0.0316227766016838	0.802055669120123	0.015092472132142	FALSE
FR	0.0251188643150958	0.808335963452167	0.013692478596155	FALSE
FR	0.0199526231496888	0.807476299792993	0.0140045024777521	FALSE
FR	0.0158489319246111	0.805186672648664	0.0149202350789797	FALSE
FR	0.0125892541179417	0.798286339939476	0.0163029015816268	FALSE
FR	0.01	0.787679674301322	0.0170819411154129	FALSE
FR	0.00794328234724282	0.779518025733706	0.0170494215041764	FALSE
FR	0.00630957344480194	0.772696306443353	0.0155626004523142	FALSE
FR	0.00501187233627273	0.767971507674619	0.013614966974061	FALSE
FR	0.00398107170553497	0.758733684247921	0.0135383948614694	FALSE
FR	0.00316227766016838	0.748603191646583	0.0130129953782848	FALSE
FR	0.00251188643150958	0.744641579346925	0.0114267185827808	FALSE
FR	0.00199526231496888	0.737294114756419	0.0106398875090716	FALSE
FR	0.00158489319246111	0.731744541406109	0.00997059271546877	FALSE
FR	0.00125892541179417	0.727461864303223	0.00976487138396936	FALSE
FR	0.001	0.721317470978822	0.0105660055095646	FALSE
FR	0.000794328234724282	0.71762481512099	0.0118424357063385	FALSE
FR	0.000630957344480194	0.712629638761091	0.0137051098621014	FALSE
FR	0.000501187233627273	0.711428904321344	0.0136355974640482	FALSE
FR	0.000398107170553497	0.709967636941158	0.0141262836011425	FALSE
FR	0.000316227766016838	0.708463366787948	0.0143268170614683	FALSE
FR	0.000251188643150958	0.706807110885906	0.0146523738237394	FALSE
FR	0.000199526231496888	0.706707011033245	0.0144876395094465	FALSE
FR	0.000158489319246111	0.706548409240273	0.0139750922908522	FALSE
FR	0.000125892541179417	0.706149434122113	0.0140845323681002	FALSE
FR	0.0001	0.705383001239453	0.0142546139190911	FALSE
IT-A	1	0.5	0	FALSE
IT-A	0.794328234724281	0.5	0	FALSE
IT-A	0.630957344480193	0.5	0	FALSE
IT-A	0.501187233627272	0.5	0	FALSE
IT-A	0.398107170553497	0.5	0	FALSE
