Cohort	Threshold	FPR	TPR
CN	0.471348699180556	0.166666666666667	0.783783783783784
CN	0.470536645612818	0.185185185185185	0.783783783783784
CN	0.46725068160091	0.203703703703704	0.783783783783784
CN	0.467053338250001	0.222222222222222	0.783783783783784
CN	0.464622928374809	0.240740740740741	0.783783783783784
CN	0.462433484310234	0.259259259259259	0.783783783783784
CN	0.46067682876227	0.259259259259259	0.797297297297297
CN	0.459804685333729	0.259259259259259	0.810810810810811
CN	0.459469013252842	0.259259259259259	0.824324324324324
CN	0.454572238917503	0.277777777777778	0.824324324324324
CN	0.454543085655879	0.296296296296296	0.824324324324324
CN	0.449387008114605	0.314814814814815	0.824324324324324
CN	0.447796993768334	0.333333333333333	0.824324324324324
CN	0.442037004545869	0.333333333333333	0.837837837837838
CN	0.43909418137796	0.351851851851852	0.837837837837838
CN	0.439019477352797	0.37037037037037	0.837837837837838
CN	0.437923471133838	0.388888888888889	0.837837837837838
CN	0.435639532330942	0.407407407407407	0.837837837837838
CN	0.434340693185433	0.407407407407407	0.851351351351351
CN	0.434197230749391	0.425925925925926	0.851351351351351
CN	0.43418939766895	0.444444444444444	0.851351351351351
CN	0.433899268188219	0.462962962962963	0.851351351351351
CN	0.431794636700634	0.481481481481481	0.851351351351351
CN	0.429023691311747	0.5	0.851351351351351
CN	0.427919962732174	0.518518518518518	0.851351351351351
CN	0.427721517380484	0.537037037037037	0.851351351351351
CN	0.426218003596373	0.555555555555556	0.851351351351351
CN	0.424826519491484	0.574074074074074	0.851351351351351
CN	0.424277814291463	0.592592592592593	0.851351351351351
CN	0.423578781416942	0.592592592592593	0.864864864864865
CN	0.420023786366079	0.592592592592593	0.878378378378378
CN	0.413143643747851	0.592592592592593	0.891891891891892
CN	0.412098525044352	0.592592592592593	0.905405405405405
CN	0.411392459661167	0.611111111111111	0.905405405405405
CN	0.409909852551711	0.62962962962963	0.905405405405405
CN	0.409593042836829	0.62962962962963	0.918918918918919
CN	0.40532887485747	0.648148148148148	0.918918918918919
CN	0.405315203724979	0.666666666666667	0.918918918918919
CN	0.403308158472817	0.666666666666667	0.932432432432432
CN	0.400821529103726	0.685185185185185	0.932432432432432
CN	0.400267609344886	0.703703703703704	0.932432432432432
CN	0.399874658512329	0.722222222222222	0.932432432432432
CN	0.399446494346919	0.740740740740741	0.932432432432432
CN	0.39922949135353	0.759259259259259	0.932432432432432
CN	0.398638675663873	0.759259259259259	0.945945945945946
CN	0.393334842956311	0.777777777777778	0.945945945945946
CN	0.3921387648221	0.777777777777778	0.959459459459459
CN	0.391967098060177	0.796296296296296	0.959459459459459
CN	0.38859099620586	0.796296296296296	0.972972972972973
CN	0.387910276244172	0.814814814814815	0.972972972972973
CN	0.386108121342216	0.833333333333333	0.972972972972973
CN	0.385347028083141	0.851851851851852	0.972972972972973
CN	0.378600447809363	0.87037037037037	0.972972972972973
CN	0.37664898556028	0.888888888888889	0.972972972972973
CN	0.373531969157678	0.907407407407407	0.972972972972973
CN	0.371889683776619	0.925925925925926	0.972972972972973
CN	0.366594596826647	0.944444444444444	0.972972972972973
CN	0.358433260388725	0.962962962962963	0.972972972972973
CN	0.358061951755744	0.981481481481482	0.972972972972973
CN	0.357463710122012	1	0.972972972972973
CN	0.35173506554764	1	0.986486486486487
CN	0.350607085461987	1	1
CN	-Inf	1	1
US	Inf	0	0
US	0.899791583870348	0	0.0192307692307692
US	0.848655989440919	0	0.0384615384615385
US	0.796623700511016	0	0.0576923076923077
US	0.793145415540832	0	0.0769230769230769
US	0.755670856460064	0.0192307692307692	0.0769230769230769
US	0.720166862021134	0.0192307692307692	0.0961538461538462
US	0.71200983317807	0.0192307692307692	0.115384615384615
US	0.663597729499736	0.0192307692307692	0.134615384615385
US	0.658791521955191	0.0192307692307692	0.153846153846154
US	0.603096591054212	0.0192307692307692	0.173076923076923
US	0.588664814495887	0.0192307692307692	0.192307692307692
US	0.57948980505271	0.0384615384615385	0.192307692307692
US	0.568049313526753	0.0576923076923077	0.192307692307692
US	0.519309802166468	0.0576923076923077	0.211538461538462
US	0.516193453831675	0.0576923076923077	0.230769230769231
US	0.515025161307685	0.0576923076923077	0.25
US	0.504533773347693	0.0769230769230769	0.25
US	0.504346191678167	0.0769230769230769	0.269230769230769
US	0.494881819633894	0.0769230769230769	0.288461538461538
US	0.484573140119208	0.0769230769230769	0.307692307692308
US	0.484022925730253	0.0769230769230769	0.326923076923077
US	0.479142829636596	0.0769230769230769	0.346153846153846
US	0.466535481415986	0.0769230769230769	0.365384615384615
US	0.449183862278293	0.0769230769230769	0.384615384615385
US	0.448427307203729	0.0769230769230769	0.403846153846154
US	0.443397856755937	0.0769230769230769	0.423076923076923
US	0.439723157945082	0.0961538461538462	0.423076923076923
US	0.437203852298102	0.0961538461538462	0.442307692307692
US	0.436229597394859	0.0961538461538462	0.461538461538462
US	0.435865749823833	0.115384615384615	0.461538461538462
US	0.434710852394874	0.134615384615385	0.461538461538462
US	0.433444482245241	0.153846153846154	0.461538461538462
US	0.433345022186541	0.153846153846154	0.480769230769231
US	0.433285463153108	0.153846153846154	0.5
US	0.433252026393436	0.153846153846154	0.519230769230769
US	0.433118535019932	0.173076923076923	0.519230769230769
US	0.432846210997247	0.192307692307692	0.519230769230769
US	0.431561398944391	0.192307692307692	0.538461538461538
US	0.43148018139568	0.192307692307692	0.557692307692308
US	0.43089128329657	0.211538461538462	0.557692307692308
US	0.430267479860871	0.230769230769231	0.557692307692308
US	0.429376321191969	0.230769230769231	0.576923076923077
US	0.42904970133545	0.230769230769231	0.596153846153846
US	0.42795796325803	0.25	0.596153846153846
US	0.426378195862196	0.25	0.615384615384615
US	0.426345003840678	0.269230769230769	0.615384615384615
US	0.426022485292979	0.288461538461538	0.615384615384615
US	0.425342106605014	0.307692307692308	0.615384615384615
US	0.425046138498338	0.326923076923077	0.615384615384615
US	0.424467962424365	0.346153846153846	0.615384615384615
US	0.424191848051601	0.346153846153846	0.634615384615385
US	0.423573938200622	0.365384615384615	0.634615384615385
US	0.4232777684341	0.365384615384615	0.653846153846154
US	0.423179527513145	0.384615384615385	0.653846153846154
US	0.422837257834388	0.403846153846154	0.653846153846154
US	0.422561321678591	0.423076923076923	0.653846153846154
US	0.421813363386038	0.442307692307692	0.653846153846154
US	0.421527612770763	0.442307692307692	0.673076923076923
US	0.420781013130577	0.461538461538462	0.673076923076923
US	0.420666620988672	0.480769230769231	0.673076923076923
US	0.419902942394926	0.480769230769231	0.692307692307692
US	0.41851018048376	0.5	0.692307692307692
US	0.417437288353753	0.5	0.711538461538462
US	0.417013978791201	0.5	0.730769230769231
US	0.416757426371165	0.5	0.75
