sample_id	SubjectID	Compound	CompoundName	reaction	CommunityScaledFlux	AbsoluteFlux	NetDirection
MV_FEM1_t1Q14	MV_FEM1	4oh_vcz_glc	4oh vcz glc	EX_4oh_vcz_glc_m	6.012480656046378e-05	6.012480656046378e-05	Export
MV_FEM1_t1Q14	MV_FEM1	mannur	mannur	EX_mannur_m	-5.874203123659549e-05	5.874203123659549e-05	Import
MV_FEM1_t1Q14	MV_FEM1	pime	pime	EX_pime_m	-4.672071628273067e-05	4.672071628273067e-05	Import
MV_FEM1_t1Q14	MV_FEM1	dopa	dopa	EX_dopa_m	-3.519968812446627e-05	3.519968812446627e-05	Import
MV_FEM1_t1Q14	MV_FEM1	etoh	Ethanol	EX_etoh_m	-2.7034149149810147e-05	2.7034149149810147e-05	Import
MV_FEM1_t1Q14	MV_FEM1	estriol	estriol	EX_estriol_m	-1.5130202138374424e-05	1.5130202138374424e-05	Import
MV_FEM1_t1Q14	MV_FEM1	hspg_degr_9	hspg degr 9	EX_hspg_degr_9_m	1.4608713205945146e-05	1.4608713205945146e-05	Export
MV_FEM1_t1Q14	MV_FEM1	S_4oh_warf	S 4oh warf	EX_S_4oh_warf_m	1.224489657662595e-05	1.224489657662595e-05	Export
MV_FEM1_t1Q14	MV_FEM1	2ddglcn	2ddglcn	EX_2ddglcn_m	8.136476918919798e-06	8.136476918919798e-06	Export
MV_FEM1_t1Q14	MV_FEM1	sn38g	sn38g	EX_sn38g_m	4.542690365358097e-06	4.542690365358097e-06	Export
MV_FEM1_t1Q14	MV_FEM1	tchola	tchola	EX_tchola_m	4.542690365358097e-06	4.542690365358097e-06	Export
MV_FEM2_t1Q14	MV_FEM2	h	h	EX_h_m	5.592177846166776	5.592177846166776	Export
MV_FEM2_t1Q14	MV_FEM2	ac	Acetate	EX_ac_m	3.921746204503373	3.921746204503373	Export
MV_FEM2_t1Q14	MV_FEM2	h2o	h2o	EX_h2o_m	2.895621713536487	2.895621713536487	Export
MV_FEM2_t1Q14	MV_FEM2	succ	Succinate	EX_succ_m	2.1086101407096187	2.1086101407096187	Export
MV_FEM2_t1Q14	MV_FEM2	ch4	ch4	EX_ch4_m	1.1559452353986506	1.1559452353986506	Export
MV_FEM2_t1Q14	MV_FEM2	co2	Carbon dioxide	EX_co2_m	1.0321707696583575	1.0321707696583575	Export
MV_FEM2_t1Q14	MV_FEM2	for	Formate	EX_for_m	0.2876122113589655	0.2876122113589655	Export
MV_FEM2_t1Q14	MV_FEM2	strch1	strch1	EX_strch1_m	-0.257339	0.257339	Import
MV_FEM2_t1Q14	MV_FEM2	h2s	h2s	EX_h2s_m	0.1584582294226523	0.1584582294226523	Export
MV_FEM2_t1Q14	MV_FEM2	glyleu	glyleu	EX_glyleu_m	-0.1132568205000007	0.1132568205000007	Import
MV_FEM2_t1Q14	MV_FEM2	acgam	acgam	EX_acgam_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	ala_L	ala L	EX_ala_L_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	cgly	cgly	EX_cgly_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	cys_L	cys L	EX_cys_L_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	fum	fum	EX_fum_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	gam	gam	EX_gam_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	glyc3p	glyc3p	EX_glyc3p_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	gsn	gsn	EX_gsn_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	h2	Hydrogen	EX_h2_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	pi	pi	EX_pi_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	ribflv	ribflv	EX_ribflv_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	ser_L	ser L	EX_ser_L_m	-0.1	0.1	Import
MV_FEM2_t1Q14	MV_FEM2	rbflvrd	rbflvrd	EX_rbflvrd_m	0.0981313688726777	0.0981313688726777	Export
MV_FEM2_t1Q14	MV_FEM2	glyasp	glyasp	EX_glyasp_m	-0.0837885898388894	0.0837885898388894	Import
MV_FEM2_t1Q14	MV_FEM2	xtsn	xtsn	EX_xtsn_m	0.0780927428207279	0.0780927428207279	Export
MV_FEM2_t1Q14	MV_FEM2	26dap_M	26dap M	EX_26dap_M_m	-0.0772965979478043	0.0772965979478043	Import
MV_FEM2_t1Q14	MV_FEM2	cellb	cellb	EX_cellb_m	-0.0744929999999999	0.0744929999999999	Import
MV_FEM2_t1Q14	MV_FEM2	tre	tre	EX_tre_m	-0.0744929999999999	0.0744929999999999	Import
MV_FEM2_t1Q14	MV_FEM2	ala_D	ala D	EX_ala_D_m	-0.0697794521382976	0.0697794521382976	Import
MV_FEM2_t1Q14	MV_FEM2	ade	ade	EX_ade_m	-0.0684277703839304	0.0684277703839304	Import
MV_FEM2_t1Q14	MV_FEM2	nmn	nmn	EX_nmn_m	-0.0655721559106468	0.0655721559106468	Import
